time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.odom_x,.odom_y,.odom_theta,.meas_rho,.meas_beta,.meas_theta,.delta_t,.gt_rho,.gt_beta,.gt_theta,.case0_x,.case0_y,.case0_t,rho,bearing,.case1_t,.case2_x,.case2_y,.case2_t,.case3_x,.case3_y,.case3_t,.case4_x,.case4_y,.case4_t,.case4_vj,.case4_wj
1970/01/01/09:00:04.173000,53,4,123000000,0,1.337955868,0.361759863,0.01357257059,1.386000037,15.13000011,356.1899635,0.05,-0.008534,1.993384,6.216687626,-0.1861437708,-2.084673405,6.215498447,-0.1042127527,1.803906389,0.5728760362,-0.05309348553,-1.778556943,6.01005498,-0.2066780776,-2.092032433,6.093850602,-0.06743871421,-2.137396812,0.7337364175,0.008120533079,0.09073229879
1970/01/01/09:00:04.224000,54,4,173000000,0,1.32700352,0.3895519253,0.01344592272,1.383000016,16.36000061,356.1621423,0.05,-0.008479,1.993395,6.216202054,-0.1739953756,-2.070236206,6.215473652,-0.1058004122,1.806233566,0.6352403164,-0.04771980271,-1.783060789,6.011437897,-0.1928766817,-2.077190638,6.102439884,-0.04099089652,-2.04094243,0.7338411373,0.03381248564,0.09056269377
1970/01/01/09:00:04.273000,55,4,223000000,0,1.327747071,0.3724628472,0.01338276315,1.378999949,15.67000008,356.1488042,0.05,-0.008493,1.993397,6.215969261,-0.1633635759,-2.060756207,6.215511799,-0.1107924153,1.807407914,0.664421916,-0.04520960897,-1.785334468,6.012035791,-0.1806266308,-2.066441774,6.108270679,-0.04222233221,-2.036515236,0.7343298295,0.03463415056,0.09046533704
1970/01/01/09:00:04.324000,56,4,273000000,0,1.321071926,0.3703416108,0.01346302728,1.371999979,15.65999985,356.112809,0.05,-0.008194,1.993887,6.215341026,-0.1519717723,-2.045031548,6.215332985,-0.1033784828,1.805278951,0.7138950229,-0.04019665718,-1.789684415,6.013342534,-0.1677602977,-2.050603867,6.116267834,-0.03041652963,-2.0049119,0.7351675875,0.04363518581,0.08990622312
1970/01/01/09:00:04.373000,57,4,323000000,0,1.32852349,0.3659363266,0.01308664044,1.378000021,15.39999962,356.1156336,0.05,-0.008006,1.993498,6.215390324,-0.1524767131,-2.044791698,6.215066433,-0.102505438,1.811022684,0.7169584036,-0.05615006387,-1.801763535,6.006223265,-0.1671048105,-2.049571753,6.116867353,-0.1281970143,-2.042773247,0.7352897606,0.03511800617,0.09105173498
1970/01/01/09:00:04.423000,58,4,373000000,0,1.331479778,0.3665006359,0.01294378681,1.381000042,15.39000034,356.0726556,0.05,-0.008034,1.992604,6.214640217,-0.1455521882,-2.035888433,6.214657784,-0.1097121199,1.813824185,0.7462590933,-0.05621948466,-1.80899334,6.005391751,-0.159043327,-2.040865183,6.121543367,-0.0851072073,-2.01445961,0.7364242246,0.04530685022,0.08967699856
1970/01/01/09:00:04.473000,59,4,423000000,0,1.335187892,0.3755558499,0.01317941727,1.386999965,15.71000004,356.0224473,0.05,-0.011182,1.993699,6.213763916,-0.1313190013,-2.056687593,6.213939667,-0.1130552156,1.812694097,0.7044251561,-0.04149504006,-1.805964351,6.010578696,-0.1439518631,-2.061239719,6.119100917,0.0007903054357,-2.105538368,0.7393214711,0.03575350344,0.08774337918
1970/01/01/09:00:04.523000,60,4,473000000,0,1.325718718,0.3572099539,0.01357172691,1.373000026,15.07999992,355.9573782,0.05,-0.020891,1.993409,6.212628246,-0.1100935116,-2.070641518,6.212973118,-0.1242997224,1.808705835,0.6780426502,-0.01349980757,-1.796824217,6.022349958,-0.1219789609,-2.0757761,6.119505499,0.1021739915,-2.103401899,0.7445923655,0.04350279272,0.084799923
1970/01/01/09:00:04.573000,61,4,523000000,0,1.33689115,0.3462414909,0.01343935948,1.381000042,14.52000046,355.9342327,0.05,-0.033632,1.993719,6.21222428,-0.1048460826,-2.085066795,6.212364674,-0.1383860396,1.815532109,0.6478472352,-0.01671041362,-1.80261457,6.020309035,-0.1160427257,-2.089697123,6.117079202,-0.006232641637,-2.124111652,0.7496189137,0.03646040708,0.08631075174
1970/01/01/09:00:04.623000,62,4,573000000,0,1.339962033,0.3658181402,0.01409404042,1.389000058,15.27000046,355.9102845,0.05,-0.047074,1.993964,6.211806307,-0.09775884449,-2.079488516,6.211875439,-0.1508571447,1.808002406,0.6737843156,-0.01470116246,-1.808302999,6.020451609,-0.1081968248,-2.084414482,6.12077329,-0.01319199614,-2.066624641,0.7539124237,0.05222378671,0.08619747311
