ceres_cauchy_x,ceres_cauchy_y,ceres_cauchy_theta
0.0234271,-2.03598,6.22248
0.0232168,-2.03728,6.22199
0.0227716,-2.03994,6.22098
0.0222859,-2.04262,6.21995
0.0220379,-2.04399,6.21948
0.0217858,-2.04537,6.21901
0.0215257,-2.04675,6.21854
0.0212632,-2.04815,6.21807
0.0209865,-2.04958,6.21759
0.020714,-2.05097,6.21712
0.0204314,-2.05239,6.21665
0.0201444,-2.05381,6.21617
0.0198498,-2.05524,6.21569
0.0192246,-2.05813,6.21472
0.0189076,-2.05958,6.21424
0.0185815,-2.06104,6.21376
0.0178943,-2.06399,6.21278
0.0175368,-2.06551,6.21229
0.017181,-2.06699,6.21181
0.0168091,-2.0685,6.21133
0.0164288,-2.07002,6.21085
0.0156405,-2.07305,6.20986
0.0148213,-2.07613,6.20887
0.0139702,-2.07922,6.20789
0.013536,-2.08076,6.20739
0.0130916,-2.08232,6.2069
0.0121695,-2.08546,6.20591
0.0116979,-2.08703,6.20541
0.011219,-2.0886,6.20492
0.0102292,-2.0918,6.20392
0.0092036,-2.09503,6.20292
0.00868446,-2.09664,6.20242
0.00816553,-2.09827,6.20195
0.00649816,-2.1032,6.20042
0.00591373,-2.10482,6.19988
0.00531977,-2.10645,6.19934
0.00471759,-2.10809,6.19879
0.0034956,-2.11144,6.19775
0.00224353,-2.11483,6.19673
0.00159086,-2.11655,6.19619
0.000958936,-2.1182,6.19568
0.00029064,-2.11994,6.19515
-0.000359025,-2.12161,6.19463
-0.00171945,-2.12508,6.1936
-0.00241049,-2.12679,6.19306
-0.0031091,-2.12851,6.19253
-0.00383128,-2.13027,6.19198
-0.0045368,-2.13196,6.19145
-0.00600202,-2.13552,6.19044
-0.00674496,-2.13728,6.18993
-0.00751127,-2.13908,6.1894
-0.00825348,-2.14082,6.1889
-0.0090227,-2.14261,6.18838
-0.0106188,-2.1463,6.18735
-0.0122197,-2.14995,6.18634
-0.0138752,-2.15364,6.18532
-0.0155723,-2.15735,6.18429
-0.0173093,-2.16109,6.18326
-0.0181847,-2.16295,6.18272
-0.0190717,-2.16481,6.18219
-0.020895,-2.16859,6.18115
-0.0218156,-2.17046,6.18061
-0.0227453,-2.17232,6.18007
-0.0236825,-2.17418,6.17952
-0.0256014,-2.17802,6.1785
-0.0265653,-2.17991,6.17798
