ceres_huber_x,ceres_huber_y,ceres_huber_theta
0.0439429,-1.81982,6.14135
0.0446311,-1.82277,6.14085
0.0460016,-1.82884,6.13983
0.0470553,-1.83465,6.13828
0.047536,-1.83754,6.13762
0.0480052,-1.84043,6.13696
0.0484589,-1.84332,6.13628
0.0489033,-1.8462,6.13558
0.0493429,-1.84914,6.13486
0.0497463,-1.85195,6.13415
0.0501497,-1.85482,6.1334
0.0505419,-1.85767,6.13265
0.0509196,-1.86053,6.13187
0.0517529,-1.86665,6.13058
0.0520873,-1.86951,6.12976
0.0524063,-1.87237,6.12893
0.0531144,-1.87856,6.12757
0.0533965,-1.8815,6.12668
0.0536444,-1.88431,6.12579
0.0538847,-1.88719,6.12487
0.0541106,-1.89007,6.12393
0.0546242,-1.89638,6.12246
0.0550741,-1.90273,6.12096
0.0554588,-1.90912,6.11942
0.055584,-1.91201,6.11836
0.0556931,-1.9149,6.11728
0.0559423,-1.92138,6.11567
0.0560044,-1.92429,6.11452
0.0560535,-1.9272,6.11336
0.0561702,-1.93379,6.11166
0.0562163,-1.94042,6.10991
0.0561926,-1.94337,6.10865
0.0563238,-1.94658,6.10801
0.0563246,-1.95727,6.10621
0.0563424,-1.96044,6.1054
0.0563448,-1.96362,6.10456
0.0563326,-1.9668,6.1037
0.0561539,-1.97383,6.1023
0.0560641,-1.98115,6.10152
0.0561294,-1.98467,6.10122
0.0561931,-1.98804,6.10091
0.0562306,-1.99155,6.10056
0.0562649,-1.99491,6.10021
0.0559701,-2.00225,6.09931
0.0559488,-2.00566,6.0989
0.0559145,-2.00908,6.09846
0.0558575,-2.01258,6.09799
0.0557975,-2.01591,6.09752
0.055454,-2.02354,6.09716
0.0554944,-2.02718,6.09728
0.0555119,-2.03089,6.09738
0.0555364,-2.03444,6.09747
0.0555349,-2.03807,6.09754
0.0549773,-2.04574,6.09707
0.0543694,-2.05327,6.09659
0.0536773,-2.06087,6.09608
0.0529088,-2.06848,6.09553
0.0520661,-2.0761,6.09496
0.0518775,-2.07973,6.09487
0.0516718,-2.08335,6.09476
0.0506812,-2.09097,6.09412
0.0504212,-2.09457,6.09396
0.0501468,-2.09817,6.09378
0.0498595,-2.10176,6.09358
0.0488448,-2.10961,6.09351
0.0486577,-2.11343,6.09392
0.0475311,-2.12126,6.0938
0.0463297,-2.12908,6.09367
0.0460547,-2.13289,6.09402
0.0457609,-2.1367,6.09435
0.044414,-2.14448,6.09416
0.0440637,-2.14826,6.09446
0.0426733,-2.15625,6.09465
0.0423599,-2.16018,6.09533
0.0420553,-2.16401,6.09602
0.0417175,-2.16791,6.09668
0.0413589,-2.17179,6.09733
0.0409857,-2.17565,6.09797
0.0405993,-2.1795,6.0986
0.0401993,-2.18333,6.09921
0.0385301,-2.19101,6.09931
0.0367849,-2.19867,6.0994
0.0362958,-2.20247,6.09997
0.0357929,-2.20626,6.10053
0.0352713,-2.21004,6.10108
0.0347404,-2.21379,6.10162
0.032797,-2.22133,6.10164
0.032219,-2.22506,6.10215
0.0316264,-2.22879,6.10266
0.0295512,-2.23626,6.10264
0.0289674,-2.24007,6.10338
0.0283679,-2.24388,6.10411
0.0277521,-2.24766,6.10484
0.0271217,-2.25144,6.10555
0.0249064,-2.25888,6.10576
0.0242283,-2.26264,6.10646
0.0235341,-2.26638,6.10715
0.0211813,-2.27373,6.10733
0.0187554,-2.28106,6.10751
0.0162569,-2.28836,6.10767
0.0154385,-2.29207,6.10833
0.014607,-2.29576,6.10899
0.0119418,-2.30306,6.10913
0.011093,-2.30667,6.10978
0.0101896,-2.31035,6.11042
0.00742645,-2.3175,6.11055
0.00455848,-2.3247,6.11067
0.00362109,-2.32828,6.11131
0.00263091,-2.33192,6.11193
0.00162604,-2.33555,6.11254
0.000606923,-2.33918,6.11316
-0.00241242,-2.3462,6.11327
-0.00545025,-2.35329,6.11363
-0.00855973,-2.36035,6.114
-0.00973244,-2.36417,6.11485
-0.0107536,-2.36771,6.11574
-0.0118761,-2.37138,6.1166
-0.0130562,-2.3751,6.11746
-0.0163149,-2.3819,6.11785
-0.0175013,-2.38552,6.11872
-0.018706,-2.38913,6.1196
-0.0221392,-2.39588,6.11998
-0.0233923,-2.39946,6.12087
-0.0247082,-2.40309,6.12175
-0.0282266,-2.40969,6.12215
-0.0295477,-2.41324,6.12306
-0.0308816,-2.41677,6.12396
-0.0346127,-2.42338,6.12437
-0.0359012,-2.42693,6.12554
-0.0372552,-2.43052,6.12671
-0.0386283,-2.43409,6.12788
-0.040018,-2.43764,6.12906
-0.0438503,-2.44405,6.12976
-0.0477494,-2.45041,6.13048
-0.0492245,-2.45391,6.1317
-0.0507151,-2.45739,6.13294
-0.0522199,-2.46085,6.13419
-0.053741,-2.46428,6.13544
-0.0578189,-2.47038,6.13622
-0.0593874,-2.47378,6.13751
-0.0609719,-2.47716,6.13882
-0.0651729,-2.48311,6.13965
-0.0668089,-2.48645,6.14099
-0.0685894,-2.48955,6.14194
-0.0703849,-2.49264,6.1429
-0.0721942,-2.4957,6.14388
-0.074017,-2.49874,6.14486
-0.0785407,-2.50416,6.14536
-0.0804064,-2.50717,6.14638
-0.0823416,-2.5102,6.14739
-0.0869168,-2.51543,6.14795
-0.089004,-2.51808,6.14849
-0.0938755,-2.52295,6.14854
-0.0988007,-2.5278,6.1486
-0.103776,-2.53261,6.14868
-0.105958,-2.53522,6.14927
-0.108152,-2.53782,6.14987
-0.11052,-2.5401,6.14995
-0.112953,-2.54241,6.15002
-0.118171,-2.54672,6.14962
-0.123491,-2.55107,6.14921
-0.125924,-2.55334,6.14931
-0.128369,-2.5556,6.14942
-0.130825,-2.55785,6.14953
-0.133293,-2.56011,6.14965
-0.135773,-2.56237,6.14977
-0.138262,-2.56463,6.1499
-0.140763,-2.56688,6.15004
-0.143273,-2.56913,6.15019
-0.145797,-2.57138,6.15034
-0.148332,-2.57363,6.1505
-0.150879,-2.57588,6.15067
-0.153438,-2.57811,6.15085
-0.156069,-2.58038,6.15102
-0.158589,-2.58256,6.15123
-0.16427,-2.58662,6.15094
-0.166885,-2.58882,6.15116
-0.169663,-2.5907,6.15086
-0.175514,-2.59456,6.15052
-0.178406,-2.5963,6.15015
-0.181308,-2.59805,6.14979
-0.184218,-2.59981,6.14943
-0.187136,-2.60156,6.14907
-0.190065,-2.60332,6.14872
-0.193003,-2.60508,6.14837
-0.199155,-2.60858,6.14752
-0.202121,-2.61036,6.14717
-0.20833,-2.61384,6.14634
-0.21132,-2.61562,6.146
-0.214321,-2.6174,6.14567
-0.217395,-2.61922,6.14534
-0.22363,-2.62263,6.14453
-0.226666,-2.62442,6.14422
-0.22971,-2.6262,6.14391
-0.232763,-2.62799,6.14361
-0.235828,-2.62978,6.14332
-0.242195,-2.63334,6.14292
-0.245237,-2.63527,6.14303
-0.248291,-2.63721,6.14315
-0.254874,-2.64036,6.14225
-0.25809,-2.64195,6.14186
-0.261313,-2.64355,6.14147
-0.264616,-2.64518,6.14108
-0.26779,-2.64675,6.14071
-0.271042,-2.64836,6.14033
-0.274302,-2.64998,6.13997
-0.281028,-2.65308,6.13911
-0.284313,-2.65469,6.13876
-0.287607,-2.65629,6.13841
