ceres_null_x,ceres_null_y,ceres_null_theta
0.22993,-1.74802,6.15423
0.231006,-1.75164,6.15373
0.233162,-1.75904,6.15271
0.234863,-1.76613,6.15099
0.235622,-1.76962,6.15017
0.236369,-1.77309,6.14933
0.237102,-1.77656,6.14848
0.237826,-1.78003,6.14761
0.238553,-1.78356,6.14672
0.23923,-1.78693,6.14583
0.239914,-1.79038,6.14492
0.240587,-1.79382,6.14398
0.241246,-1.79724,6.14303
0.242712,-1.80467,6.14155
0.243326,-1.80811,6.14055
0.243926,-1.81154,6.13953
0.245252,-1.81906,6.13798
0.245821,-1.82259,6.13689
0.246343,-1.82596,6.13581
0.246866,-1.82942,6.13469
0.247374,-1.83287,6.13355
0.248487,-1.84053,6.13187
0.249526,-1.84825,6.13015
0.250491,-1.85601,6.12839
0.250891,-1.85948,6.1271
0.251276,-1.86297,6.12579
0.25209,-1.87085,6.12394
0.252426,-1.87434,6.12256
0.252749,-1.87785,6.12115
0.253416,-1.88586,6.11919
0.254001,-1.89393,6.11718
0.254249,-1.89749,6.11565
0.254699,-1.90131,6.11481
0.255516,-1.91433,6.1128
0.255843,-1.91812,6.11176
0.256156,-1.92193,6.1107
0.256454,-1.92574,6.10961
0.256815,-1.93429,6.10797
0.257379,-1.94324,6.10729
0.257881,-1.94752,6.10707
0.258374,-1.9516,6.10685
0.258851,-1.95587,6.10659
0.259318,-1.95994,6.10632
0.259656,-1.96891,6.1055
0.260068,-1.97306,6.10516
0.260468,-1.97722,6.10479
0.26085,-1.98147,6.10439
0.261222,-1.98552,6.10398
0.261563,-1.99481,6.10383
0.262107,-1.99923,6.10417
0.262634,-2.00372,6.10447
0.263162,-2.00802,6.10477
0.263671,-2.01241,6.10504
0.263784,-2.02177,6.10477
0.263831,-2.03093,6.10448
0.263786,-2.0402,6.10415
0.263654,-2.04947,6.10379
0.263437,-2.05875,6.10339
0.263748,-2.06316,6.10346
0.264042,-2.06756,6.10352
0.263663,-2.07684,6.10304
0.2639,-2.08123,6.10303
0.264123,-2.0856,6.10301
0.264334,-2.08997,6.10296
0.264022,-2.09959,6.10334
0.26444,-2.10428,6.10421
0.264004,-2.11386,6.10455
0.263484,-2.12342,6.10487
0.263811,-2.1281,6.10567
0.26412,-2.13277,6.10646
0.263441,-2.14227,6.10672
0.263692,-2.14692,6.10747
0.262973,-2.15662,6.1081
0.263273,-2.16141,6.10924
0.263583,-2.16607,6.11037
0.263862,-2.17082,6.11149
0.264121,-2.17555,6.11258
0.264367,-2.18026,6.11367
0.264601,-2.18495,6.11475
0.264822,-2.18963,6.11582
0.263801,-2.19895,6.11637
0.262694,-2.20825,6.1169
0.262821,-2.21289,6.11793
0.262936,-2.21753,6.11894
0.263032,-2.22215,6.11995
0.26312,-2.22675,6.12094
0.261798,-2.23589,6.12143
0.261836,-2.24047,6.1224
0.261862,-2.24504,6.12336
0.260393,-2.2541,6.12382
0.260434,-2.25875,6.12503
0.260461,-2.2634,6.12623
0.260473,-2.26802,6.12743
0.26047,-2.27264,6.12862
0.258854,-2.28163,6.12931
0.258802,-2.28623,6.13049
0.258735,-2.29082,6.13167
0.256967,-2.29971,6.13235
0.255116,-2.30857,6.13302
0.253182,-2.3174,6.1337
0.252982,-2.32196,6.13487
0.252769,-2.3265,6.13604
0.250654,-2.33533,6.1367
0.250423,-2.33979,6.13788
0.250137,-2.34431,6.13906
0.247911,-2.35296,6.13973
0.245569,-2.36166,6.14041
0.245244,-2.36609,6.1416
0.244866,-2.37059,6.14279
0.244473,-2.37508,6.14398
0.244067,-2.37957,6.14517
0.241557,-2.38804,6.14587
0.239027,-2.39656,6.14684
0.236416,-2.40505,6.14782
0.235849,-2.40975,6.14929
0.235443,-2.41414,6.15081
0.234932,-2.41867,6.15232
0.234361,-2.42326,6.15383
0.23158,-2.43143,6.15488
0.231,-2.43591,6.15643
0.230402,-2.44038,6.15799
0.227427,-2.44848,6.15907
0.226776,-2.45292,6.16067
0.22606,-2.45742,6.16227
0.222988,-2.46532,6.16342
0.222265,-2.46972,6.16507
0.22153,-2.47411,6.16674
0.218222,-2.482,6.16794
0.217539,-2.48639,6.1699
0.216787,-2.49083,6.17188
0.216014,-2.49524,6.17387
0.215224,-2.49963,6.17589
0.211801,-2.50723,6.17744
0.208301,-2.51476,6.17905
0.207416,-2.5191,6.18117
0.206515,-2.52342,6.18332
0.205597,-2.5277,6.18549
0.204663,-2.53195,6.18769
0.200955,-2.53912,6.18944
0.199967,-2.54334,6.19172
0.198962,-2.54753,6.19403
0.195113,-2.55448,6.19589
0.194051,-2.55863,6.19828
0.192825,-2.56253,6.2003
0.191583,-2.56642,6.20235
0.190324,-2.57028,6.20443
0.18905,-2.5741,6.20653
0.184826,-2.58039,6.2082
0.183502,-2.58416,6.21039
0.182102,-2.58796,6.21261
0.177812,-2.59396,6.2144
0.176077,-2.59713,6.21576
0.171295,-2.60251,6.21666
0.166457,-2.60785,6.2176
0.161566,-2.61313,6.21859
0.159732,-2.61624,6.2201
0.157885,-2.61934,6.22164
0.155606,-2.62177,6.22202
0.153259,-2.62424,6.2224
0.14787,-2.62861,6.22232
0.142379,-2.633,6.22227
0.140047,-2.63544,6.22273
0.137706,-2.63787,6.22321
0.135357,-2.6403,6.22371
0.132999,-2.64274,6.22423
0.130632,-2.64517,6.22477
0.128259,-2.64761,6.22533
0.125878,-2.65005,6.22591
0.12349,-2.65249,6.22652
0.12109,-2.65492,6.22715
0.118682,-2.65736,6.2278
0.116264,-2.65979,6.22848
0.113836,-2.66222,6.22918
0.111333,-2.66467,6.2299
0.108953,-2.66704,6.23066
0.103132,-2.67104,6.23095
0.100655,-2.67343,6.23177
0.0979429,-2.67544,6.23195
0.0918996,-2.67913,6.2321
0.0888271,-2.6806,6.23151
0.0857522,-2.68209,6.23093
0.0826759,-2.6836,6.23036
0.0795966,-2.68512,6.22981
0.0765125,-2.68666,6.22926
0.0734264,-2.68821,6.22873
0.0668676,-2.69123,6.22771
0.0637677,-2.69282,6.22721
0.0571702,-2.69585,6.22622
0.054059,-2.69746,6.22575
0.0509431,-2.69908,6.2253
0.047754,-2.70074,6.22484
0.0411656,-2.70377,6.22393
0.0380314,-2.70541,6.22353
0.0348928,-2.70708,6.22314
0.0317506,-2.70874,6.22277
0.0286026,-2.71043,6.22241
0.0219243,-2.71363,6.22197
0.0188214,-2.71547,6.22204
0.0157115,-2.71731,6.22214
0.0086729,-2.7199,6.2208
0.00525096,-2.7212,6.21996
0.00182837,-2.72251,6.21914
-0.00167247,-2.72387,6.21832
-0.00502806,-2.72519,6.21754
-0.00846138,-2.72656,6.21675
-0.0118955,-2.72795,6.21598
-0.0190201,-2.73064,6.21473
-0.0224682,-2.73204,6.21399
-0.0259191,-2.73345,6.21326
-0.0330911,-2.73615,6.21205
-0.0402922,-2.73884,6.21086
-0.0437776,-2.74027,6.21018
-0.0472691,-2.74172,6.20952
-0.0507636,-2.74317,6.20888
-0.0580368,-2.74586,6.20775
-0.06155,-2.74732,6.20714
-0.0650706,-2.74879,6.20655
-0.0685975,-2.75028,6.20597
-0.0721345,-2.75179,6.20541
-0.0756767,-2.75331,6.20487
-0.0793025,-2.75484,6.20434
-0.0827824,-2.75634,6.20384
-0.0901914,-2.75904,6.20286
-0.0976325,-2.76172,6.2019
-0.101224,-2.76324,6.20146
-0.104823,-2.76476,6.20104
-0.112323,-2.76741,6.20015
-0.11985,-2.77003,6.19929
-0.123485,-2.77156,6.19895
-0.127129,-2.77309,6.19863
-0.130775,-2.77462,6.19832
-0.134429,-2.77615,6.19804
-0.138084,-2.77767,6.19778
-0.141746,-2.7792,6.19755
-0.145414,-2.78073,6.19733
-0.149088,-2.78225,6.19714
-0.156754,-2.78476,6.19648
-0.160449,-2.78628,6.19634
-0.164151,-2.7878,6.19622
-0.167863,-2.78931,6.19613
-0.171581,-2.79082,6.19606
-0.179333,-2.79321,6.19553
-0.183064,-2.79469,6.19552
-0.186999,-2.79592,6.19507
-0.190777,-2.79713,6.19465
-0.194721,-2.79836,6.19424
-0.198508,-2.79956,6.19387
-0.202461,-2.80079,6.1935
-0.21443,-2.80354,6.19218
-0.218327,-2.80473,6.19187
-0.226338,-2.80665,6.1911
-0.230252,-2.80782,6.19084
-0.234172,-2.80899,6.19061
-0.242312,-2.81085,6.1899
-0.246166,-2.812,6.18973
-0.250108,-2.81315,6.18957
-0.258213,-2.81492,6.18895
-0.262173,-2.81606,6.18885
