x,y,theta
0.371088,-1.73328,6.16082
0.372255,-1.73746,6.16032
0.37459,-1.74602,6.1593
0.376513,-1.75435,6.15772
0.377419,-1.75849,6.15703
0.378312,-1.76263,6.15633
0.379363,-1.76691,6.15613
0.380404,-1.77119,6.15592
0.381448,-1.77553,6.15569
0.38244,-1.77968,6.15547
0.38344,-1.78391,6.15523
0.384427,-1.78811,6.15497
0.385399,-1.7923,6.1547
0.387233,-1.80097,6.15391
0.388156,-1.80514,6.15361
0.389065,-1.80931,6.15329
0.390748,-1.818,6.15245
0.391624,-1.82225,6.15209
0.392569,-1.82643,6.15209
0.393515,-1.83069,6.15206
0.394448,-1.83493,6.15202
0.395906,-1.84364,6.15125
0.397508,-1.85259,6.15114
0.399031,-1.86154,6.15101
0.399949,-1.86586,6.15137
0.400854,-1.87016,6.15171
0.402224,-1.87906,6.15154
0.403078,-1.88333,6.15184
0.403922,-1.88757,6.15213
0.405149,-1.89644,6.1519
0.406295,-1.90531,6.15165
0.407062,-1.90954,6.15187
0.408037,-1.91397,6.15277
0.409471,-1.92762,6.15254
0.41032,-1.93198,6.15329
0.411158,-1.93633,6.15404
0.411984,-1.94065,6.15477
0.412934,-1.94957,6.15497
0.414015,-1.95872,6.15585
0.41467,-1.96306,6.15665
0.415318,-1.9672,6.15746
0.415956,-1.97149,6.15823
0.416587,-1.97559,6.15901
0.417174,-1.9843,6.15926
0.417759,-1.98844,6.15999
0.418339,-1.99256,6.16071
0.418909,-1.99675,6.1614
0.41947,-2.00074,6.1621
0.420078,-2.00954,6.16295
0.420506,-2.01354,6.16373
0.420923,-2.01761,6.16449
0.421252,-2.0214,6.16507
0.421571,-2.02527,6.16563
0.421619,-2.03368,6.16565
0.421612,-2.04191,6.16566
0.42153,-2.05021,6.16563
0.421378,-2.05851,6.16558
0.421158,-2.0668,6.16549
0.421338,-2.07065,6.16588
0.421509,-2.07449,6.16626
0.421165,-2.08274,6.16611
0.421296,-2.08655,6.16644
0.42142,-2.09035,6.16676
0.42125,-2.09386,6.16649
0.420672,-2.10204,6.16637
0.420668,-2.10578,6.16674
0.419997,-2.11395,6.16657
0.41926,-2.12211,6.16637
0.419319,-2.12599,6.16707
0.419087,-2.12959,6.16719
0.418072,-2.1376,6.16677
0.417735,-2.14112,6.1667
0.416656,-2.14928,6.1665
0.416404,-2.15295,6.16679
0.416165,-2.15652,6.16707
0.41591,-2.16017,6.16733
0.415643,-2.16382,6.16757
0.415371,-2.16745,6.16779
0.415097,-2.17109,6.16799
0.414819,-2.17471,6.16818
0.413533,-2.1827,6.16783
0.41218,-2.19069,6.16745
0.411846,-2.19432,6.16756
0.411507,-2.19794,6.16764
0.41116,-2.20156,6.16771
0.410812,-2.20517,6.16776
0.409352,-2.21321,6.16745
0.409025,-2.21688,6.16763
0.408694,-2.22056,6.16779
0.407125,-2.22858,6.16742
0.406837,-2.23235,6.16779
0.406544,-2.23613,6.16816
0.406243,-2.23989,6.16851
0.405937,-2.24366,6.16884
0.404281,-2.25174,6.16865
0.403946,-2.25551,6.16895
0.403603,-2.25928,6.16923
0.401828,-2.26734,6.16899
0.399983,-2.2754,6.16872
0.39807,-2.28346,6.16843
0.397638,-2.28725,6.16863
0.397201,-2.29104,6.16881
0.395142,-2.29919,6.16846
0.394702,-2.30291,6.16862
0.394219,-2.30672,6.16876
0.392073,-2.31479,6.16838
0.389999,-2.32319,6.16865
0.389675,-2.32716,6.16943
0.389308,-2.33122,6.17019
0.388934,-2.33527,6.17095
0.388555,-2.33932,6.17171
0.386348,-2.34754,6.17195
0.384136,-2.35584,6.17244
0.381851,-2.36411,6.17293
0.38136,-2.3684,6.17389
0.380761,-2.37207,6.17433
0.380076,-2.37591,6.17474
0.379343,-2.37983,6.17513
0.37667,-2.38765,6.17503
0.375943,-2.39149,6.17542
0.375205,-2.39532,6.17581
0.372369,-2.40319,6.17568
0.371763,-2.40727,6.17673
0.371105,-2.41143,6.17776
0.368355,-2.41939,6.17832
0.367701,-2.42347,6.17937
0.36704,-2.42753,6.18042
0.364086,-2.43556,6.18097
0.363495,-2.43963,6.18227
0.362845,-2.44376,6.18358
0.362182,-2.44788,6.18489
0.361507,-2.45198,6.1862
0.35847,-2.45983,6.18703
0.355361,-2.46764,6.18787
0.354615,-2.47172,6.18922
0.353858,-2.4758,6.19058
0.353092,-2.47985,6.19195
0.352075,-2.4836,6.19276
0.34855,-2.49091,6.19308
0.347499,-2.49466,6.19391
0.346597,-2.49864,6.19541
0.34311,-2.50611,6.19644
0.342167,-2.51007,6.19798
0.341049,-2.51381,6.19912
0.339924,-2.51755,6.20028
0.338789,-2.52127,6.20145
0.337643,-2.52497,6.20263
0.3338,-2.53198,6.20332
0.332619,-2.53566,6.20453
0.331374,-2.5394,6.20574
0.327474,-2.54622,6.2065
0.326018,-2.54957,6.20719
0.321831,-2.55621,6.20775
0.317584,-2.56281,6.20832
0.313279,-2.56937,6.20893
0.311819,-2.57284,6.21004
0.310352,-2.57631,6.21117
0.308647,-2.57946,6.21174
0.306881,-2.58266,6.21232
0.302261,-2.5887,6.21242
0.297532,-2.59478,6.21253
0.295774,-2.59793,6.21315
0.294006,-2.60108,6.21379
0.292232,-2.60422,6.21444
0.29045,-2.60736,6.2151
0.288662,-2.61051,6.21577
0.286868,-2.61366,6.21646
0.285068,-2.61681,6.21716
0.283262,-2.61996,6.21788
0.281446,-2.62311,6.21862
0.279623,-2.62626,6.21937
0.277791,-2.6294,6.22014
0.275951,-2.63254,6.22093
0.274039,-2.63572,6.22173
0.272246,-2.63879,6.22256
0.267148,-2.64449,6.22292
0.26526,-2.6476,6.22379
0.263146,-2.6504,6.22411
0.257831,-2.65586,6.2244
0.255567,-2.65851,6.22464
0.253299,-2.66118,6.22489
0.251028,-2.66385,6.22515
0.24875,-2.66652,6.22543
0.246253,-2.66888,6.22515
0.243753,-2.67126,6.22488
0.237863,-2.67605,6.22411
0.235347,-2.67846,6.22386
0.229401,-2.68325,6.22312
0.227004,-2.68593,6.22356
0.224601,-2.68861,6.22401
0.222124,-2.69133,6.22447
0.21629,-2.69625,6.22448
0.213859,-2.69893,6.22499
0.211423,-2.7016,6.22553
0.208981,-2.70427,6.22608
0.206533,-2.70694,6.22665
0.200586,-2.71193,6.22714
0.198188,-2.71473,6.22815
0.195781,-2.71753,6.22919
0.189543,-2.72205,6.22919
0.186908,-2.72451,6.2297
0.184065,-2.72664,6.22966
0.181145,-2.72883,6.22962
0.17837,-2.73094,6.22961
0.175517,-2.7331,6.22961
0.172665,-2.73527,6.22963
0.166101,-2.73939,6.22917
0.16323,-2.74157,6.22923
0.160357,-2.74374,6.2293
0.15373,-2.7478,6.2289
0.147065,-2.75184,6.22852
0.14415,-2.75401,6.22866
0.141229,-2.75618,6.22883
0.138305,-2.75836,6.22901
0.131552,-2.76231,6.22872
0.128606,-2.76448,6.22895
0.125744,-2.76682,6.22968
0.122876,-2.76918,6.23045
0.119997,-2.77153,6.23124
0.117023,-2.77372,6.23179
0.113965,-2.77593,6.23235
0.111055,-2.77806,6.23296
0.104143,-2.78178,6.23309
0.0971933,-2.78546,6.23326
0.0941662,-2.78759,6.23396
0.0911325,-2.78971,6.23469
0.0841159,-2.79325,6.23496
0.0770668,-2.79673,6.23527
0.0739943,-2.79881,6.23611
0.0707302,-2.80056,6.2364
0.0674663,-2.8023,6.23672
0.0641987,-2.80403,6.23706
0.0609318,-2.80575,6.23742
0.0576626,-2.80747,6.23781
0.0545057,-2.80943,6.23889
0.0513442,-2.81137,6.24
0.0441004,-2.81443,6.24066
0.0407393,-2.81601,6.24127
0.037376,-2.81757,6.24191
0.0340069,-2.81913,6.24257
0.0306355,-2.82067,6.24327
0.0231445,-2.82314,6.24349
0.0197683,-2.82464,6.24425
0.0161707,-2.82589,6.24457
0.0127369,-2.8271,6.24493
0.00913894,-2.82832,6.2453
0.0057055,-2.82951,6.24571
0.00210609,-2.83071,6.24612
-0.00966706,-2.83338,6.2456
-0.0131986,-2.83453,6.24609
-0.020919,-2.83634,6.24612
-0.0244863,-2.8374,6.24658
-0.0280564,-2.83844,6.24706
-0.0359165,-2.84007,6.24706
-0.0394062,-2.84108,6.24762
-0.0431497,-2.84176,6.24761
-0.0511149,-2.84293,6.24713
-0.0548571,-2.84359,6.24717
-0.0586815,-2.84426,6.24722
-0.0665704,-2.84535,6.24682
-0.0745507,-2.84639,6.24643
-0.0784562,-2.84668,6.24599
-0.0823567,-2.84698,6.24557
-0.0864153,-2.84695,6.24459
-0.0905515,-2.84693,6.2436
-0.0946724,-2.84657,6.24207
-0.0988684,-2.84624,6.24053
-0.103057,-2.84593,6.239
-0.107321,-2.84565,6.23746
-0.111403,-2.84537,6.23595
-0.115462,-2.84538,6.2351
-0.123763,-2.84578,6.23375
-0.127808,-2.8458,6.23291
-0.132089,-2.84549,6.2315
-0.140438,-2.84556,6.22959
-0.144611,-2.84526,6.22818
-0.148777,-2.84498,6.22678
-0.152958,-2.84467,6.22528
-0.157108,-2.84444,6.22394
-0.161333,-2.84422,6.22259
-0.165633,-2.84402,6.22124
-0.169652,-2.84347,6.21936
-0.173822,-2.84322,6.21812
-0.182237,-2.84342,6.21637
-0.186388,-2.84319,6.21513
-0.19065,-2.8427,6.21342
-0.1949,-2.84223,6.21171
-0.199138,-2.84178,6.21
-0.20762,-2.84182,6.20777
-0.211934,-2.84116,6.20565
-0.216236,-2.84054,6.20353
-0.224788,-2.84045,6.20087
-0.229069,-2.83986,6.19871
-0.233336,-2.83929,6.19655
-0.237587,-2.83874,6.19437
-0.241827,-2.83822,6.19219
-0.246055,-2.83771,6.19
-0.250272,-2.83722,6.18781
-0.254395,-2.83702,6.18625
-0.258508,-2.83683,6.18469
-0.266846,-2.83747,6.18296
-0.270984,-2.83746,6.18172
-0.274942,-2.83741,6.18049
-0.279065,-2.83741,6.17925
-0.287217,-2.83833,6.17819
-0.291298,-2.83823,6.17704
-0.295371,-2.83814,6.1759
-0.299435,-2.83807,6.17475
-0.303489,-2.83799,6.1736
-0.307533,-2.83793,6.17245
-0.315965,-2.83856,6.17078
-0.324223,-2.83915,6.1691
-0.32833,-2.8391,6.16791
-0.332257,-2.83904,6.16673
-0.336262,-2.839,6.16555
-0.340292,-2.83888,6.16422
-0.344316,-2.83878,6.16288
-0.348463,-2.83835,6.16097
-0.356938,-2.83863,6.15853
-0.361198,-2.83789,6.156
-0.365446,-2.83717,6.15346
-0.374116,-2.83725,6.15036
-0.378252,-2.83656,6.14776
-0.382462,-2.83591,6.14514
-0.391026,-2.83613,6.14197
-0.395214,-2.83554,6.13928
-0.399322,-2.83524,6.13726
-0.407872,-2.8357,6.13438
-0.41203,-2.83527,6.13199
-0.41618,-2.83486,6.12958
-0.424678,-2.83564,6.1271
-0.428763,-2.83545,6.1251
-0.432845,-2.83528,6.12309
-0.436919,-2.83513,6.12107
-0.440987,-2.83501,6.11903
-0.449485,-2.83597,6.11645
-0.453539,-2.83587,6.11436
-0.457586,-2.8358,6.11225
-0.461629,-2.83575,6.11013
-0.465665,-2.83571,6.10799
-0.47426,-2.83687,6.1053
-0.482687,-2.83802,6.1026
-0.491165,-2.83943,6.10038
-0.499658,-2.84085,6.09813
-0.508161,-2.84227,6.09585
-0.512123,-2.84251,6.09405
-0.516078,-2.84276,6.09225
-0.524601,-2.84425,6.08991
-0.528553,-2.84452,6.08805
-0.532599,-2.84484,6.08617
-0.536441,-2.84519,6.08448
-0.540376,-2.84559,6.08277
-0.548933,-2.84728,6.08052
-0.552873,-2.8477,6.07876
-0.556844,-2.84843,6.07766
-0.560626,-2.84911,6.07657
