x,y,theta
0.826506,-1.63747,6.26399
0.828292,-1.64186,6.2635
0.831888,-1.65086,6.26251
0.834949,-1.6597,6.26082
0.836402,-1.66407,6.26005
0.837851,-1.66845,6.25927
0.839497,-1.67293,6.25901
0.841141,-1.6774,6.25874
0.842807,-1.68195,6.25846
0.844405,-1.68631,6.2582
0.846031,-1.69075,6.25792
0.847649,-1.69516,6.25764
0.849261,-1.69956,6.25736
0.852365,-1.70872,6.25657
0.853943,-1.71312,6.25628
0.855516,-1.71752,6.25597
0.858493,-1.72673,6.25516
0.860062,-1.73122,6.25483
0.861708,-1.73561,6.25487
0.863376,-1.74008,6.25489
0.865038,-1.74453,6.25491
0.86783,-1.75379,6.2542
0.870836,-1.76327,6.25422
0.873765,-1.77275,6.25423
0.875484,-1.77728,6.25474
0.877198,-1.78181,6.25524
0.879992,-1.79126,6.25522
0.881668,-1.79576,6.2557
0.883342,-1.80024,6.25617
0.886009,-1.80968,6.25613
0.8886,-1.81912,6.25607
0.890222,-1.8236,6.25651
0.892114,-1.82823,6.25766
0.89565,-1.84276,6.25769
0.897423,-1.84736,6.25872
0.899195,-1.85194,6.25974
0.900962,-1.8565,6.26076
0.90344,-1.86599,6.26126
0.906214,-1.87573,6.26276
0.907634,-1.88023,6.26366
0.909032,-1.88452,6.26457
0.910454,-1.88899,6.26546
0.911853,-1.89324,6.26637
0.91379,-1.90246,6.26675
0.915168,-1.90677,6.26762
0.916552,-1.91107,6.26849
0.917944,-1.91546,6.26934
0.919315,-1.91963,6.2702
0.921392,-1.92894,6.27136
0.92267,-1.93317,6.27241
0.923957,-1.93747,6.27344
0.925128,-1.94151,6.27431
0.926312,-1.94564,6.27517
0.927782,-1.95465,6.27549
0.929179,-1.96348,6.27582
0.930517,-1.97239,6.27612
0.931789,-1.9813,6.27639
0.933,-1.99023,6.27665
0.934098,-1.99436,6.27741
0.935194,-1.99848,6.27816
0.9363,-2.00737,6.27839
0.937372,-2.01148,6.27912
0.938445,-2.01557,6.27984
0.938949,-2.01931,6.27959
0.939708,-2.02806,6.27977
0.940542,-2.03206,6.28045
0.941224,-2.04081,6.2806
0.941848,-2.04956,6.28073
0.942801,-2.05368,6.28177
0.943124,-2.0574,6.28173
0.94317,-2.06586,6.28115
0.943399,-2.06954,6.28091
0.943426,-2.0782,6.28056
0.94379,-2.08201,6.28071
0.944168,-2.08573,6.28086
0.944552,-2.08955,6.28099
0.944935,-2.09337,6.28112
0.945324,-2.09719,6.28123
0.945722,-2.10101,6.28134
0.946127,-2.10484,6.28143
0.946017,-2.11343,6.281
0.945848,-2.12205,6.28054
0.94623,-2.12592,6.28058
0.946618,-2.12978,6.28061
0.94701,-2.13366,6.28063
0.947409,-2.13753,6.28064
0.947192,-2.14626,6.2803
0.947644,-2.1502,6.28046
0.948104,-2.15416,6.28061
0.947803,-2.16292,6.28024
0.948346,-2.16697,6.28063
0.948894,-2.17104,6.28101
0.949445,-2.1751,6.28139
0.950002,-2.17918,6.28176
0.949674,-2.18804,6.28162
0.950223,-2.19214,6.28198
0.950775,-2.19625,6.28233
0.950351,-2.20514,6.28217
0.949861,-2.21404,6.282
0.94931,-2.22297,6.28181
0.949812,-2.22715,6.28212
0.95032,-2.23133,6.28243
0.949655,-2.2404,6.28223
0.950174,-2.24453,6.28254
0.950668,-2.24876,6.28284
0.94993,-2.25778,6.28264
0.949376,-2.26714,6.28326
0.950145,-2.27156,6.28441
0.950889,-2.27608,6.28555
0.951636,-2.28059,6.28671
0.952387,-2.28511,6.28787
0.951716,-2.29432,6.28854
0.951057,-2.30358,6.28947
0.950327,-2.31284,6.29042
0.951027,-2.31765,6.29186
0.951395,-2.32174,6.2925
0.951703,-2.32603,6.29312
0.951981,-2.33042,6.29374
0.950675,-2.33918,6.29389
0.950968,-2.3435,6.29454
0.951259,-2.34783,6.2952
0.949813,-2.35669,6.29536
0.950329,-2.36126,6.29681
0.950807,-2.36593,6.29826
0.949527,-2.37488,6.29925
0.950019,-2.37947,6.30075
0.950512,-2.38406,6.30227
0.949046,-2.39311,6.30331
0.949634,-2.39769,6.30512
0.950178,-2.40235,6.30695
0.950714,-2.407,6.3088
0.951246,-2.41164,6.31068
0.949712,-2.4205,6.31209
0.948104,-2.42932,6.31355
0.948584,-2.43397,6.31553
0.94906,-2.4386,6.31754
0.949532,-2.44323,6.31959
0.949549,-2.44747,6.32077
0.947314,-2.45573,6.3215
0.947314,-2.45999,6.32274
0.947566,-2.46451,6.32484
0.945468,-2.47294,6.32648
0.94569,-2.47745,6.32866
0.945708,-2.48178,6.33047
0.945725,-2.48611,6.33231
0.945738,-2.49043,6.33418
0.945745,-2.49473,6.33609
0.943248,-2.50271,6.33755
0.943229,-2.507,6.33954
0.943156,-2.51135,6.34156
0.940593,-2.51912,6.34316
0.940068,-2.52298,6.34432
0.936998,-2.53043,6.34539
0.933869,-2.53787,6.34651
0.930682,-2.54526,6.34768
0.930206,-2.54925,6.34938
0.929729,-2.55323,6.35113
0.92867,-2.5567,6.35172
0.92756,-2.56024,6.35232
0.923716,-2.56692,6.35249
0.919775,-2.57366,6.35268
0.918704,-2.57719,6.3534
0.917634,-2.58071,6.35416
0.916566,-2.58425,6.35495
0.915502,-2.58779,6.35577
0.914442,-2.59136,6.35663
0.913387,-2.59493,6.35752
0.912336,-2.59851,6.35845
0.911287,-2.60209,6.35941
0.910239,-2.60569,6.36042
0.909194,-2.60929,6.36146
0.908147,-2.61289,6.36254
0.907102,-2.6165,6.36366
0.905993,-2.62017,6.36481
0.905008,-2.62372,6.36603
0.90077,-2.63022,6.3668
0.899705,-2.63383,6.36811
0.89832,-2.63715,6.36879
0.893801,-2.64342,6.36947
0.891938,-2.64634,6.36943
0.890086,-2.64929,6.36943
0.888242,-2.65226,6.36945
0.886405,-2.65525,6.36951
0.884268,-2.65797,6.36895
0.882144,-2.66072,6.36842
0.876657,-2.66621,6.36742
0.874546,-2.66903,6.36695
0.869028,-2.67458,6.36602
0.867175,-2.67773,6.36652
0.865327,-2.6809,6.36706
0.863414,-2.68413,6.36763
0.858151,-2.6899,6.36777
0.856301,-2.69309,6.36844
0.854455,-2.6963,6.36916
0.852611,-2.6995,6.36991
0.850772,-2.70273,6.37071
0.845445,-2.70859,6.37146
0.843697,-2.71194,6.37275
0.841948,-2.71529,6.37409
0.836098,-2.7206,6.37403
0.833902,-2.7235,6.37451
0.831389,-2.72609,6.37432
0.828809,-2.72875,6.37414
0.826388,-2.73134,6.37403
0.823901,-2.73399,6.37394
0.821426,-2.73667,6.37388
0.815189,-2.74167,6.37338
0.812715,-2.74438,6.37341
0.810247,-2.7471,6.37348
0.803965,-2.75209,6.3731
0.797649,-2.75706,6.37278
0.795166,-2.75981,6.373
0.792686,-2.76258,6.37326
0.790211,-2.76535,6.37356
0.783825,-2.77028,6.37343
0.781343,-2.77307,6.37383
0.778986,-2.77603,6.37477
0.776635,-2.77899,6.37575
0.774281,-2.78197,6.37679
0.77181,-2.78481,6.37761
0.769257,-2.78769,6.37847
0.766863,-2.79048,6.37939
0.76034,-2.79524,6.37988
0.753777,-2.79995,6.38044
0.751276,-2.80277,6.38156
0.748774,-2.80558,6.38273
0.742138,-2.81015,6.38347
0.735464,-2.81467,6.3843
0.732934,-2.81746,6.38569
0.729888,-2.81967,6.38592
0.726851,-2.82189,6.38619
0.723818,-2.8241,6.38651
0.720793,-2.82632,6.38688
0.717775,-2.82854,6.38729
0.714936,-2.831,6.38846
0.712099,-2.83345,6.38968
0.70498,-2.83734,6.39048
0.701885,-2.83948,6.39124
0.698793,-2.84162,6.39204
0.695701,-2.84375,6.39289
0.692613,-2.84588,6.39379
0.685176,-2.84925,6.39427
0.68209,-2.85134,6.39529
0.678735,-2.85324,6.39591
0.675561,-2.85508,6.39659
0.672217,-2.85696,6.3973
0.669052,-2.85879,6.39808
0.665715,-2.86066,6.39889
0.653675,-2.86452,6.39881
0.650417,-2.86633,6.39978
0.64269,-2.86906,6.40032
0.639391,-2.87079,6.40131
0.636092,-2.87251,6.40235
0.6282,-2.87505,6.40297
0.624994,-2.87673,6.40415
0.621222,-2.87781,6.40419
0.612922,-2.8796,6.40378
0.609168,-2.88069,6.40392
0.605336,-2.8818,6.40409
0.597139,-2.88351,6.40384
0.588847,-2.88518,6.40363
0.584818,-2.88587,6.4032
0.580804,-2.88656,6.4028
0.576523,-2.88691,6.40173
0.57217,-2.88728,6.40067
0.567629,-2.88715,6.39867
0.563021,-2.88706,6.39669
0.558437,-2.88701,6.39473
0.553786,-2.887,6.39277
0.549345,-2.88699,6.39086
0.545052,-2.88736,6.38992
0.536228,-2.88834,6.3885
0.531973,-2.88873,6.38761
0.527269,-2.88864,6.38577
0.518231,-2.88915,6.38346
0.513669,-2.8891,6.38166
0.50913,-2.88907,6.37988
0.50458,-2.88902,6.37803
0.500087,-2.88906,6.37634
0.495527,-2.88913,6.37466
0.490899,-2.88924,6.373
0.486403,-2.88884,6.3705
0.481889,-2.88888,6.36902
0.472885,-2.88964,6.36704
