x,y,theta
-0.0763464,-1.99377,6.19714
-0.0763888,-1.99508,6.19665
-0.0764875,-1.99777,6.19565
-0.0766195,-2.0005,6.19465
-0.0766879,-2.00191,6.19422
-0.0767633,-2.00332,6.19378
-0.0768382,-2.00476,6.19338
-0.0769185,-2.0062,6.19298
-0.0770008,-2.00769,6.19261
-0.0770888,-2.00913,6.19227
-0.0771862,-2.0106,6.19191
-0.0772926,-2.01208,6.19155
-0.0774095,-2.01356,6.19118
-0.0776873,-2.0165,6.19032
-0.0778291,-2.01799,6.18996
-0.0779828,-2.01948,6.18958
-0.078328,-2.02246,6.18871
-0.0785119,-2.024,6.18833
-0.0786772,-2.02553,6.18807
-0.078858,-2.02709,6.18779
-0.0790494,-2.02864,6.18751
-0.0795282,-2.03164,6.18661
-0.0800372,-2.03468,6.18573
-0.0805825,-2.03774,6.18484
-0.0808725,-2.03928,6.18447
-0.0811749,-2.04083,6.1841
-0.081789,-2.04394,6.18322
-0.0821224,-2.04548,6.18284
-0.0824651,-2.04703,6.18245
-0.0831524,-2.05018,6.18156
-0.0838708,-2.05337,6.18069
-0.0842531,-2.05495,6.18031
-0.0846407,-2.05654,6.17995
-0.0858508,-2.06136,6.17848
-0.086308,-2.06292,6.17802
-0.0867767,-2.0645,6.17755
-0.0872549,-2.06607,6.17708
-0.088185,-2.06933,6.1761
-0.0891496,-2.07261,6.17512
-0.0896818,-2.07425,6.17463
-0.0902015,-2.07583,6.17416
-0.0907522,-2.07747,6.17366
-0.0912925,-2.07906,6.17317
-0.09237,-2.0824,6.17217
-0.0929497,-2.08401,6.17166
-0.0935449,-2.08561,6.17113
-0.0941612,-2.08725,6.17058
-0.0947688,-2.08882,6.17005
-0.0959642,-2.09222,6.16901
-0.0966106,-2.09384,6.16845
-0.0972764,-2.09551,6.16789
-0.0979744,-2.09704,6.16722
-0.098697,-2.09863,6.16653
-0.100068,-2.10209,6.16532
-0.101451,-2.10551,6.16411
-0.102883,-2.10899,6.16289
-0.104351,-2.1125,6.16166
-0.105858,-2.11605,6.16043
-0.106674,-2.11771,6.1597
-0.107501,-2.11937,6.15895
-0.109089,-2.12297,6.1577
-0.10995,-2.12463,6.15693
-0.110788,-2.12636,6.15632
-0.111635,-2.12809,6.1557
-0.113292,-2.13182,6.15457
-0.11417,-2.13357,6.15394
-0.115894,-2.13733,6.15279
-0.117659,-2.14112,6.15163
-0.118576,-2.14292,6.15103
-0.119504,-2.14473,6.15043
-0.121339,-2.14859,6.14931
-0.122345,-2.15034,6.14857
-0.124297,-2.15423,6.14737
-0.125322,-2.15602,6.14666
-0.126337,-2.15778,6.14597
-0.127381,-2.15958,6.14526
-0.128441,-2.16139,6.14454
-0.129511,-2.16319,6.14381
-0.130591,-2.165,6.14307
-0.13168,-2.16681,6.14232
-0.133809,-2.17076,6.14105
-0.135986,-2.17474,6.13977
