x,y,theta
0.981116,-1.60156,6.34643
0.982576,-1.60494,6.34528
0.986298,-1.6122,6.34432
0.989581,-1.61937,6.3428
0.991104,-1.62293,6.34218
0.992631,-1.62648,6.34156
0.994349,-1.63011,6.34141
0.996073,-1.63373,6.34127
0.997851,-1.63742,6.34118
0.99956,-1.64095,6.34112
1.00131,-1.64453,6.34105
1.00259,-1.64793,6.3403
1.00388,-1.65132,6.33956
1.0064,-1.65843,6.3376
1.0072,-1.66166,6.33614
1.00765,-1.66476,6.33414
1.01005,-1.67205,6.33234
1.01082,-1.67541,6.33102
1.01166,-1.6787,6.33006
1.01255,-1.68207,6.32909
1.01343,-1.68543,6.32811
1.01575,-1.69288,6.3264
1.01826,-1.70053,6.32528
1.02034,-1.70807,6.32357
1.02115,-1.71149,6.32291
1.02197,-1.71491,6.32224
1.0242,-1.72265,6.32104
1.025,-1.72606,6.32034
1.02581,-1.72946,6.31962
1.02751,-1.73708,6.31766
1.02938,-1.74488,6.31626
1.02995,-1.74826,6.31534
1.03076,-1.75176,6.315
1.03398,-1.76425,6.31352
1.03496,-1.76787,6.31368
1.03595,-1.77149,6.31382
1.03693,-1.77508,6.31396
1.03905,-1.78323,6.31357
1.04139,-1.79156,6.31389
1.04221,-1.79519,6.31399
1.04301,-1.79863,6.31411
1.04385,-1.80224,6.3142
1.04465,-1.80564,6.31429
1.04645,-1.81372,6.31385
1.04727,-1.81719,6.31389
1.04781,-1.82052,6.31346
1.04838,-1.82394,6.31302
1.04892,-1.82716,6.31257
1.05059,-1.83528,6.31223
1.05106,-1.83858,6.31186
1.05184,-1.84214,6.3122
1.05248,-1.84545,6.31237
1.05316,-1.84885,6.31252
1.05416,-1.8568,6.31139
1.05509,-1.8646,6.31024
1.05599,-1.87253,6.30903
1.05708,-1.88063,6.30838
1.05812,-1.88876,6.30769
1.05883,-1.89229,6.3082
1.05954,-1.8958,6.30869
1.06078,-1.90407,6.30865
1.06149,-1.90755,6.30909
1.06227,-1.91105,6.30971
1.06265,-1.91433,6.30965
1.06374,-1.92255,6.30976
1.06438,-1.92599,6.31036
1.06541,-1.93419,6.31042
1.06639,-1.94239,6.31043
1.06718,-1.9459,6.31132
1.06755,-1.94918,6.3115
1.06819,-1.95722,6.31113
1.06847,-1.96044,6.31111
1.06911,-1.96863,6.31092
1.06922,-1.97178,6.3107
1.0696,-1.975,6.31117
1.06959,-1.9781,6.31096
1.0696,-1.98119,6.31073
1.06961,-1.98427,6.31048
1.06965,-1.98736,6.31021
1.0697,-1.99043,6.30992
1.06981,-1.99832,6.30907
1.06988,-2.00623,6.30816
1.06994,-2.00933,6.30773
1.07001,-2.01242,6.30728
1.0701,-2.01552,6.30681
1.0698,-2.01841,6.30565
1.0695,-2.02625,6.3041
1.06892,-2.02901,6.30241
1.06836,-2.03179,6.30068
1.06766,-2.03959,6.29838
1.06722,-2.04249,6.29681
1.0668,-2.04542,6.2952
1.06659,-2.04852,6.29414
1.0664,-2.05163,6.29304
1.06613,-2.06,6.29179
1.06603,-2.0632,6.29087
1.06594,-2.06642,6.28994
1.06554,-2.07484,6.28843
1.0651,-2.08332,6.28686
1.06461,-2.09185,6.28522
1.06478,-2.09535,6.28479
1.06483,-2.09878,6.2841
1.0645,-2.1077,6.28311
1.06424,-2.11089,6.2819
1.06399,-2.1142,6.28065
1.0632,-2.1229,6.27884
1.06258,-2.13195,6.27761
1.0626,-2.13539,6.27688
1.06284,-2.13914,6.27678
1.0631,-2.1429,6.27667
1.06337,-2.14667,6.27653
1.06294,-2.15591,6.27584
1.06253,-2.16523,6.27534
1.06207,-2.17459,6.27479
1.06263,-2.1789,6.27544
1.0629,-2.18254,6.27548
1.06316,-2.18641,6.27547
1.0634,-2.1904,6.27544
1.06284,-2.19972,6.27513
1.06319,-2.20368,6.27529
1.06377,-2.20783,6.27613
1.06334,-2.21743,6.27642
1.06413,-2.22175,6.27782
1.06491,-2.22617,6.27921
1.06461,-2.23578,6.28008
1.06541,-2.24008,6.28144
1.06621,-2.24437,6.28278
1.0655,-2.25391,6.28306
1.06611,-2.25798,6.28408
1.06671,-2.26214,6.28507
1.06736,-2.26634,6.28621
1.06801,-2.27052,6.28734
1.06743,-2.28006,6.28824
1.06668,-2.28951,6.28893
1.06743,-2.29381,6.29046
1.06818,-2.2981,6.29198
1.06894,-2.30238,6.29349
1.06935,-2.3064,6.29436
1.06824,-2.31556,6.2947
1.06865,-2.31959,6.29553
1.06928,-2.32382,6.29701
1.06791,-2.33284,6.29727
1.06815,-2.33681,6.29802
1.0682,-2.34063,6.29839
1.06827,-2.34447,6.29875
1.06834,-2.34831,6.2991
1.06842,-2.35215,6.29945
1.06676,-2.36103,6.29927
1.067,-2.36505,6.30009
1.06722,-2.36916,6.3009
1.0659,-2.37827,6.30191
1.066,-2.38222,6.30274
1.06432,-2.39121,6.30339
1.0622,-2.39993,6.30332
1.06004,-2.40865,6.30323
1.05986,-2.41247,6.30364
1.0597,-2.4163,6.30404
1.05917,-2.41987,6.30373
1.05861,-2.42355,6.3034
1.05604,-2.43195,6.30255
1.05357,-2.44066,6.30231
1.05289,-2.44422,6.30186
1.05221,-2.4478,6.30141
1.05155,-2.4514,6.30095
1.0511,-2.45522,6.30114
1.05067,-2.45905,6.30132
1.05031,-2.46295,6.30169
1.04996,-2.46687,6.30207
1.04975,-2.47092,6.30286
1.04955,-2.47498,6.30366
1.04935,-2.47905,6.30446
1.04917,-2.48312,6.30527
1.04918,-2.48737,6.30672
1.04916,-2.49172,6.30818
1.04924,-2.49588,6.3097
1.04653,-2.50464,6.31018
1.04628,-2.50868,6.31116
1.04576,-2.5125,6.3116
1.0428,-2.52111,6.31194
1.04203,-2.52478,6.31206
1.04128,-2.52847,6.31218
1.04054,-2.53218,6.31231
1.0398,-2.53591,6.31244
1.0388,-2.53942,6.31202
1.03799,-2.54313,6.31217
1.03446,-2.55148,6.3118
1.03382,-2.5554,6.31248
1.03009,-2.56365,6.31204
1.02934,-2.56755,6.31279
1.0286,-2.57145,6.31355
1.02782,-2.57545,6.31431
1.02426,-2.58379,6.31457
1.02361,-2.5878,6.31563
1.02296,-2.59181,6.3167
1.02232,-2.59582,6.31778
1.02133,-2.59953,6.31815
1.01745,-2.60777,6.31838
1.01656,-2.61162,6.31913
1.01576,-2.61555,6.32016
1.01155,-2.62355,6.32002
1.01062,-2.62742,6.32109
1.00941,-2.63104,6.32159
1.00831,-2.63494,6.32267
1.00735,-2.63866,6.32379
1.00633,-2.64248,6.32491
1.00532,-2.6463,6.32605
1.00124,-2.65448,6.32729
1.0004,-2.65846,6.32905
0.999553,-2.66244,6.33084
0.995028,-2.67014,6.33141
0.99045,-2.67781,6.332
0.98923,-2.68147,6.33311
0.988018,-2.68513,6.33424
0.986811,-2.68879,6.33538
0.982334,-2.69656,6.33676
0.980981,-2.70011,6.33797
0.979753,-2.70379,6.33964
0.978206,-2.70717,6.34065
0.976665,-2.71056,6.34167
0.975011,-2.71384,6.34245
0.97329,-2.71718,6.34324
0.97172,-2.72038,6.34407
0.966451,-2.72731,6.34441
0.960911,-2.73399,6.34427
0.959178,-2.73723,6.34516
0.957316,-2.74034,6.34577
0.951832,-2.74711,6.34629
0.946308,-2.75386,6.34684
0.944552,-2.7571,6.34791
0.942469,-2.76002,6.34828
0.9404,-2.76295,6.34867
0.938342,-2.76588,6.34908
0.936297,-2.76882,6.34951
0.934054,-2.77157,6.34951
0.931982,-2.77451,6.3501
0.929921,-2.77745,6.35072
0.923943,-2.78372,6.35086
0.921656,-2.78645,6.351
0.919454,-2.78928,6.35143
0.91717,-2.79202,6.35169
0.915013,-2.79491,6.35239
0.908565,-2.80071,6.35198
0.906215,-2.80341,6.35237
0.903611,-2.806,6.35235
0.901184,-2.80847,6.35236
0.898608,-2.81108,6.35238
0.896208,-2.81358,6.35243
0.893657,-2.81621,6.35249
0.883029,-2.82491,6.35157
0.880244,-2.82717,6.35095
0.873426,-2.83267,6.35033
0.870747,-2.83508,6.35014
0.86827,-2.83774,6.35071
0.861488,-2.84347,6.35079
0.859238,-2.84625,6.35191
0.856592,-2.84875,6.35234
0.849668,-2.85416,6.35229
0.847016,-2.85664,6.35271
0.844292,-2.8592,6.35314
0.83737,-2.86444,6.35303
0.830334,-2.86971,6.35292
0.827402,-2.87189,6.35273
0.824661,-2.87432,6.35326
0.821681,-2.87647,6.35324
0.818625,-2.87869,6.35322
0.815466,-2.88049,6.35256
0.812412,-2.88259,6.35262
0.809342,-2.88468,6.35263
0.806198,-2.88683,6.35265
0.803249,-2.88887,6.35271
0.800398,-2.89122,6.35349
0.792747,-2.89582,6.35307
0.789763,-2.89803,6.3538
0.786411,-2.89996,6.35388
0.778714,-2.90433,6.35348
0.775475,-2.90622,6.35359
0.772428,-2.90835,6.35445
0.769355,-2.91044,6.35525
0.766331,-2.91258,6.35622
0.762931,-2.91441,6.3565
0.759593,-2.91648,6.35737
0.756455,-2.91799,6.35765
0.753228,-2.91988,6.35865
0.745364,-2.92404,6.35918
0.742157,-2.92591,6.36022
0.738787,-2.92757,6.36087
0.735543,-2.92937,6.36201
0.732094,-2.93091,6.36264
0.723946,-2.93451,6.36278
0.720371,-2.93584,6.36307
0.716817,-2.93718,6.36341
0.708533,-2.94051,6.36326
0.705005,-2.94184,6.36363
0.701217,-2.94282,6.36333
0.697451,-2.94381,6.36305
0.693706,-2.94481,6.36279
0.689982,-2.9458,6.36255
0.686278,-2.9468,6.36233
0.682721,-2.948,6.36268
0.678939,-2.94889,6.36244
0.670451,-2.95172,6.36202
0.666688,-2.95277,6.36211
0.663136,-2.95375,6.36224
0.659408,-2.95479,6.36238
0.651208,-2.95771,6.36269
0.647475,-2.95857,6.36282
0.643762,-2.95944,6.36296
0.639829,-2.96,6.36251
0.63592,-2.96057,6.36207
0.631756,-2.9608,6.36094
0.622664,-2.96269,6.35927
0.613569,-2.96423,6.35703
0.609175,-2.96426,6.35528
0.605009,-2.96426,6.35355
0.600775,-2.96433,6.3518
0.596517,-2.96436,6.34992
0.59229,-2.96442,6.34804
0.587809,-2.96416,6.34543
0.578509,-2.96563,6.34227
0.573881,-2.96516,6.33905
0.569398,-2.96492,6.33632
0.560007,-2.96654,6.33302
0.555688,-2.96633,6.33024
0.551304,-2.9662,6.32744
0.54211,-2.968,6.32409
0.537746,-2.96789,6.32112
0.53354,-2.96805,6.31873
0.524409,-2.97006,6.3155
0.520149,-2.97015,6.31277
0.515829,-2.97016,6.30978
0.506779,-2.97241,6.30668
0.502607,-2.97266,6.30407
0.498459,-2.97294,6.30145
0.494339,-2.97328,6.29883
0.490372,-2.97388,6.29679
0.481303,-2.97632,6.29351
0.477122,-2.97662,6.29071
0.47274,-2.97664,6.28728
0.468387,-2.97673,6.28384
0.463918,-2.97666,6.27998
0.454511,-2.97909,6.27554
0.445318,-2.98152,6.27105
0.436142,-2.98427,6.26697
0.426974,-2.98711,6.26283
0.417957,-2.99029,6.25934
0.413888,-2.99096,6.25634
0.4099,-2.99178,6.25361
0.400718,-2.99492,6.24961
0.396616,-2.99564,6.24661
0.392282,-2.99626,6.24315
0.388204,-2.99687,6.23986
0.384029,-2.99758,6.2365
0.375004,-3.00144,6.23325
0.370989,-3.00249,6.23048
0.367012,-3.00386,6.22831
0.363003,-3.00477,6.22542
0.358941,-3.00608,6.22316
0.355097,-3.00732,6.2209
0.351213,-3.00875,6.21886
0.34716,-3.01014,6.21655
0.343225,-3.0115,6.21424
0.334308,-3.01595,6.21138
0.330523,-3.01764,6.2097
0.326651,-3.01942,6.20799
0.317931,-3.02441,6.20621
0.314258,-3.02634,6.20491
0.31066,-3.02841,6.20394
0.307072,-3.0305,6.20297
0.303596,-3.03281,6.20255
0.2948,-3.03832,6.2016
0.291415,-3.04081,6.20163
0.288144,-3.04323,6.20166
0.279495,-3.04878,6.20118
0.276118,-3.05125,6.2012
0.272859,-3.05394,6.20184
0.269419,-3.05655,6.20222
0.2662,-3.05903,6.20264
0.262718,-3.06129,6.20256
0.259246,-3.06357,6.20247
0.250086,-3.06846,6.20121
0.246603,-3.07051,6.20092
0.243022,-3.07262,6.20063
0.239407,-3.07493,6.20069
0.235872,-3.07687,6.20032
0.226793,-3.08173,6.19943
0.217688,-3.08655,6.19851
0.214157,-3.08877,6.19868
0.205123,-3.09374,6.19833
0.201595,-3.09593,6.19849
0.192529,-3.10081,6.19815
0.183429,-3.10565,6.1978
0.1799,-3.1078,6.19795
0.176382,-3.10996,6.19812
0.167036,-3.11432,6.19707
0.16331,-3.11609,6.19652
0.159488,-3.11767,6.19562
0.155682,-3.11928,6.19473
0.15189,-3.1209,6.19383
0.142431,-3.12509,6.19242
0.132949,-3.12927,6.19098
0.129169,-3.13092,6.19004
