x,y,theta
-0.215473,-1.9151,6.1495
-0.215232,-1.91666,6.14901
-0.214758,-1.91986,6.14801
-0.21432,-1.9231,6.14701
-0.214088,-1.92481,6.14669
-0.213867,-1.92652,6.14636
-0.213635,-1.92828,6.14614
-0.213412,-1.93004,6.14592
-0.213191,-1.93184,6.14573
-0.212992,-1.93358,6.14555
-0.212801,-1.93534,6.14536
-0.212619,-1.93711,6.14517
-0.212452,-1.93887,6.14497
-0.21218,-1.94233,6.14427
-0.212044,-1.94409,6.14407
-0.211918,-1.94586,6.14387
-0.211725,-1.94935,6.14317
-0.211632,-1.95116,6.14296
-0.211517,-1.95299,6.14296
-0.211417,-1.95484,6.14294
-0.211331,-1.95667,6.14292
-0.21129,-1.96014,6.14225
-0.211287,-1.96364,6.14158
-0.211323,-1.96717,6.14091
-0.211357,-1.96895,6.14075
-0.211407,-1.97072,6.14059
-0.211526,-1.97426,6.13992
-0.211614,-1.97602,6.13974
-0.211715,-1.97777,6.13956
-0.21192,-1.98132,6.13887
-0.212163,-1.9849,6.13818
-0.212314,-1.98667,6.13798
-0.212474,-1.98844,6.13778
-0.212983,-1.99382,6.13647
-0.213217,-1.99555,6.13616
-0.213466,-1.99729,6.13585
-0.213727,-1.99901,6.13552
-0.214212,-2.00259,6.13467
-0.214736,-2.00621,6.13383
-0.215053,-2.00799,6.13346
-0.215369,-2.00969,6.13311
-0.215709,-2.01146,6.13273
-0.216051,-2.01316,6.13236
-0.216704,-2.0168,6.13146
-0.217085,-2.0185,6.13105
-0.21748,-2.02021,6.13062
-0.217894,-2.02195,6.13017
-0.218311,-2.0236,6.12973
-0.219094,-2.02726,6.12877
-0.219544,-2.02897,6.1283
-0.220011,-2.03073,6.12781
-0.220523,-2.03232,6.1272
-0.221058,-2.03397,6.12656
-0.222023,-2.03768,6.12539
-0.223012,-2.04133,6.12423
-0.224051,-2.04504,6.12303
-0.225131,-2.04879,6.12182
-0.226255,-2.05256,6.12059
-0.226897,-2.05426,6.11985
-0.227552,-2.05596,6.11909
-0.228766,-2.05978,6.11781
-0.229458,-2.06147,6.11702
-0.230129,-2.06323,6.11638
-0.230809,-2.065,6.11574
-0.2321,-2.06895,6.11458
-0.232814,-2.07073,6.1139
-0.23418,-2.07472,6.1127
-0.235591,-2.07873,6.11148
-0.236332,-2.0806,6.11092
-0.237081,-2.08248,6.11036
-0.238552,-2.0866,6.10927
-0.239382,-2.0884,6.10855
-0.240951,-2.0926,6.10747
-0.241782,-2.09449,6.1069
-0.242607,-2.09633,6.10633
-0.243456,-2.09823,6.10575
-0.244323,-2.10012,6.10515
-0.245202,-2.10201,6.10453
-0.246092,-2.10389,6.10389
-0.246993,-2.10577,6.10324
-0.248755,-2.10998,6.10207
-0.250568,-2.11421,6.10086
-0.251531,-2.11608,6.10015
-0.252504,-2.11795,6.09941
-0.253494,-2.11982,6.09865
-0.254494,-2.1217,6.09789
-0.256428,-2.12606,6.09676
-0.257435,-2.12802,6.09611
-0.258455,-2.12998,6.09545
-0.260485,-2.13437,6.09427
-0.261507,-2.13641,6.09376
-0.262542,-2.13845,6.09324
-0.263587,-2.1405,6.09271
-0.264645,-2.14254,6.09217
-0.26676,-2.14713,6.09128
-0.267861,-2.14917,6.09076
-0.268977,-2.1512,6.09022
-0.271233,-2.15572,6.08915
-0.27354,-2.16023,6.08806
-0.275901,-2.16476,6.08694
-0.277105,-2.16679,6.08631
-0.27837,-2.16872,6.08551
-0.280868,-2.17332,6.08437
-0.282109,-2.17529,6.08375
-0.283391,-2.17731,6.08309
-0.285962,-2.18188,6.08191
-0.288609,-2.18652,6.08069
-0.289913,-2.18849,6.07998
-0.291254,-2.19052,6.07924
-0.292608,-2.19256,6.07849
-0.293975,-2.19459,6.07772
-0.296746,-2.19924,6.07641
-0.299537,-2.20399,6.07528
-0.302384,-2.20873,6.07411
-0.303866,-2.21097,6.07341
-0.305241,-2.21299,6.07275
-0.306691,-2.21513,6.07204
-0.308185,-2.21731,6.07131
-0.311128,-2.22213,6.07026
-0.312598,-2.22433,6.06969
-0.314078,-2.22653,6.06911
-0.317158,-2.23141,6.068
-0.318675,-2.23361,6.06738
-0.320241,-2.23586,6.06674
-0.323399,-2.24071,6.06558
-0.324974,-2.24291,6.0649
-0.326559,-2.2451,6.0642
-0.32989,-2.25007,6.06296
-0.331452,-2.2523,6.06242
-0.333065,-2.25458,6.06185
-0.334673,-2.2569,6.0614
-0.336295,-2.25922,6.06094
-0.339687,-2.26434,6.06016
-0.343177,-2.26937,6.05921
-0.34485,-2.27175,6.05894
-0.346536,-2.27411,6.05866
-0.348233,-2.27646,6.05836
-0.349942,-2.27881,6.05805
-0.353559,-2.28387,6.05722
-0.355307,-2.2862,6.05688
-0.357067,-2.28853,6.05652
-0.36079,-2.29357,6.05565
-0.362588,-2.2959,6.05526
-0.364421,-2.29817,6.05477
-0.366269,-2.30045,6.05427
-0.36813,-2.3027,6.05375
-0.370002,-2.30494,6.05321
-0.373936,-2.30989,6.05214
-0.375838,-2.31215,6.05162
-0.377797,-2.31446,6.05107
-0.38179,-2.31938,6.05003
-0.383744,-2.32164,6.04946
-0.387833,-2.3267,6.04856
-0.391978,-2.33175,6.04765
-0.396177,-2.33678,6.04672
-0.398197,-2.3391,6.04627
-0.400231,-2.34142,6.04581
-0.402278,-2.34373,6.04534
-0.404379,-2.34609,6.04484
-0.408696,-2.35103,6.04383
-0.413114,-2.35602,6.0428
-0.415234,-2.35831,6.04225
-0.417369,-2.36059,6.04169
-0.419518,-2.36286,6.04111
-0.421678,-2.36513,6.04052
-0.423853,-2.3674,6.03992
-0.42602,-2.36974,6.03946
-0.428201,-2.37208,6.03899
-0.430375,-2.37447,6.03866
-0.432567,-2.37686,6.03832
-0.434772,-2.37923,6.03795
-0.436993,-2.3816,6.03757
-0.439225,-2.38396,6.03719
-0.441521,-2.38636,6.03678
-0.443726,-2.38866,6.0364
-0.448541,-2.39367,6.0355
-0.450835,-2.39601,6.03509
-0.453142,-2.39834,6.03467
-0.458048,-2.40339,6.03389
-0.460375,-2.40578,6.0336
-0.462719,-2.40816,6.0333
-0.465076,-2.41054,6.03298
-0.467446,-2.41289,6.03265
-0.469828,-2.41525,6.03231
-0.472221,-2.4176,6.03197
-0.477343,-2.42256,6.03111
-0.479775,-2.42492,6.03076
-0.484976,-2.42986,6.0299
-0.487446,-2.43221,6.02953
-0.489932,-2.43454,6.02915
-0.492486,-2.43692,6.02875
