xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.0470443,-2.05727,6.21877,0.3,0.05,-0.0448762,-2.04669,6.21669
-0.0474196,-2.05748,6.21827,0.3,0.05,-0.0446926,-2.0482,6.2162
-0.0478359,-2.05794,6.21777,0.3,0.05,-0.0443987,-2.04895,6.21597
-0.0482689,-2.05862,6.21727,0.3,0.05,-0.0450086,-2.05043,6.21534
-0.0487626,-2.05985,6.21677,0.3,0.05,-0.0447583,-2.0512,6.21539
-0.0490086,-2.0612,6.21627,0.3,0.05,-0.0456874,-2.05271,6.21464
-0.049217,-2.06303,6.21577,0.3,0.05,-0.0469834,-2.05344,6.21376
-0.0496422,-2.06438,6.21527,0.3,0.05,-0.0480264,-2.05498,6.21263
-0.0505232,-2.06537,6.21477,0.3,0.05,-0.04833,-2.05572,6.21222
-0.0514393,-2.06577,6.21427,0.3,0.05,-0.0489682,-2.05732,6.21181
-0.0524531,-2.0662,6.21377,0.3,0.05,-0.0491836,-2.0581,6.21153
-0.0531964,-2.06647,6.21327,0.3,0.05,-0.0490381,-2.0597,6.21114
-0.0537337,-2.06725,6.21277,0.3,0.05,-0.0492054,-2.06047,6.21077
-0.0545296,-2.06758,6.21226,0.3,0.05,-0.0364051,-2.06305,6.21323
-0.0552886,-2.06847,6.21176,0.3,0.05,-0.050123,-2.06454,6.20957
-0.0569129,-2.07007,6.21076,0.3,0.05,-0.0526615,-2.06692,6.20758
-0.0587059,-2.07127,6.20976,0.3,0.05,-0.0537364,-2.06942,6.20658
-0.0603649,-2.07253,6.20876,0.3,0.05,-0.0540177,-2.07028,6.2064
-0.0618717,-2.0726,6.20826,0.3,0.05,-0.0538971,-2.07196,6.20611
-0.0632683,-2.07288,6.20775,0.3,0.05,-0.0537377,-2.07283,6.20579
-0.064435,-2.07341,6.20725,0.3,0.05,-0.0545855,-2.07452,6.20501
-0.0654839,-2.0725,6.20675,0.3,0.05,-0.0548047,-2.07537,6.20469
-0.0667546,-2.07118,6.20625,0.3,0.05,-0.0553052,-2.07713,6.20444
-0.0677299,-2.07097,6.20574,0.3,0.05,-0.0555757,-2.07799,6.20417
-0.068487,-2.07113,6.20523,0.3,0.05,-0.0569696,-2.07971,6.20299
-0.0693776,-2.07168,6.20473,0.3,0.05,-0.0590637,-2.0823,6.20134
-0.0710764,-2.07436,6.20373,0.3,0.05,-0.0589219,-2.08503,6.20118
-0.0722899,-2.07661,6.20273,0.3,0.05,-0.060211,-2.0877,6.19997
-0.0735271,-2.07886,6.20172,0.3,0.05,-0.0610972,-2.09043,6.19931
-0.0746023,-2.08174,6.20072,0.3,0.05,-0.0621511,-2.0932,6.19829
-0.0759095,-2.08437,6.19971,0.3,0.05,-0.0483528,-2.09617,6.20047
-0.0768702,-2.0858,6.19919,0.3,0.05,-0.0653193,-2.09687,6.19602
-0.077641,-2.087,6.19871,0.3,0.05,-0.0653289,-2.09878,6.19607
-0.0791223,-2.08871,6.1977,0.3,0.05,-0.0656997,-2.09971,6.19567
-0.080331,-2.08907,6.19719,0.3,0.05,-0.066429,-2.10161,6.19495
-0.0817053,-2.08974,6.19669,0.3,0.05,-0.0667829,-2.10256,6.19461
-0.0834382,-2.09012,6.19619,0.3,0.05,-0.067498,-2.10449,6.19397
-0.0860145,-2.08918,6.19568,0.3,0.05,-0.0678759,-2.10544,6.19398
-0.0865044,-2.09172,6.19518,0.3,0.05,-0.068656,-2.10737,6.19323
-0.0867843,-2.09448,6.19467,0.3,0.05,-0.042852,-2.11063,6.19878
-0.0872342,-2.09683,6.19417,0.3,0.05,-0.0718217,-2.11121,6.19109
-0.0877683,-2.09906,6.19367,0.3,0.05,-0.0718684,-2.11324,6.19114
-0.0888108,-2.1027,6.19266,0.3,0.05,-0.0718787,-2.11419,6.1909
-0.0892856,-2.10532,6.19216,0.3,0.05,-0.0735937,-2.11716,6.18967
-0.0903942,-2.10835,6.19165,0.3,0.05,-0.0613219,-2.12037,6.19201
-0.0919547,-2.11242,6.19065,0.3,0.05,-0.0758058,-2.12225,6.18824
-0.0936084,-2.11643,6.18965,0.3,0.05,-0.0762384,-2.12319,6.18793
-0.0941521,-2.11951,6.18915,0.3,0.05,-0.0786668,-2.1262,6.18638
-0.0946228,-2.12241,6.18865,0.3,0.05,-0.0792179,-2.12928,6.18609
-0.0955481,-2.12629,6.18765,0.3,0.05,-0.0802627,-2.13137,6.18524
-0.0970314,-2.13099,6.18664,0.3,0.05,-0.0817557,-2.13446,6.18421
-0.102037,-2.12978,6.18564,0.3,0.05,-0.0822491,-2.13549,6.18388
-0.106394,-2.12736,6.18514,0.3,0.05,-0.0833058,-2.13762,6.18342
-0.11083,-2.12486,6.18464,0.3,0.05,-0.084851,-2.14078,6.18232
-0.112737,-2.12909,6.18362,0.3,0.05,-0.0867548,-2.14395,6.18111
-0.114516,-2.13304,6.18263,0.3,0.05,-0.0869013,-2.14502,6.18099
-0.115628,-2.1352,6.18213,0.3,0.05,-0.0885069,-2.14712,6.18014
-0.116593,-2.13696,6.18163,0.3,0.05,-0.0620774,-2.1509,6.18591
-0.117684,-2.13884,6.18112,0.3,0.05,-0.0904248,-2.15146,6.17884
-0.118841,-2.14039,6.18061,0.3,0.05,-0.0919888,-2.1536,6.17822
-0.120788,-2.14328,6.17962,0.3,0.05,-0.0926007,-2.15471,6.17782
-0.121993,-2.1451,6.17912,0.3,0.05,-0.0937031,-2.15691,6.17722
