xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.039967,-2.05672,6.22151,0.3,0.05,-0.0448762,-2.04669,6.21669
-0.0402928,-2.05691,6.22101,0.3,0.05,-0.0446926,-2.0482,6.2162
-0.0406541,-2.05737,6.22051,0.3,0.05,-0.0443987,-2.04895,6.21597
-0.0410247,-2.05804,6.22001,0.3,0.05,-0.0450086,-2.05043,6.21534
-0.0414615,-2.05929,6.21951,0.3,0.05,-0.0447583,-2.0512,6.21539
-0.0416373,-2.06065,6.21901,0.3,0.05,-0.0456874,-2.05271,6.21464
-0.0417772,-2.06252,6.21851,0.3,0.05,-0.0469834,-2.05344,6.21376
-0.0421041,-2.06391,6.21801,0.3,0.05,-0.0480264,-2.05498,6.21263
-0.0428629,-2.06492,6.21751,0.3,0.05,-0.04833,-2.05572,6.21222
-0.0436216,-2.06536,6.21701,0.3,0.05,-0.0489682,-2.05732,6.21181
-0.044465,-2.06584,6.21651,0.3,0.05,-0.0491836,-2.0581,6.21153
-0.0450139,-2.06617,6.216,0.3,0.05,-0.0490381,-2.0597,6.21114
-0.0453564,-2.06704,6.2155,0.3,0.05,-0.0492054,-2.06047,6.21077
-0.0459289,-2.06745,6.215,0.3,0.05,-0.0364051,-2.06305,6.21323
-0.0464665,-2.06845,6.2145,0.3,0.05,-0.050123,-2.06454,6.20957
-0.047841,-2.07014,6.2135,0.3,0.05,-0.0526615,-2.06692,6.20758
-0.0493564,-2.07144,6.2125,0.3,0.05,-0.0537364,-2.06942,6.20658
-0.0507214,-2.07283,6.2115,0.3,0.05,-0.0540177,-2.07028,6.2064
-0.0519212,-2.07304,6.211,0.3,0.05,-0.0538971,-2.07196,6.20611
-0.0529981,-2.0735,6.2105,0.3,0.05,-0.0537377,-2.07283,6.20579
-0.0538309,-2.07422,6.20999,0.3,0.05,-0.0545855,-2.07452,6.20501
-0.0544811,-2.07353,6.20949,0.3,0.05,-0.0548047,-2.07537,6.20469
-0.0553242,-2.07244,6.20899,0.3,0.05,-0.0553052,-2.07713,6.20444
-0.0558811,-2.07251,6.20849,0.3,0.05,-0.0555757,-2.07799,6.20417
-0.0562056,-2.07299,6.20797,0.3,0.05,-0.0569696,-2.07971,6.20299
-0.0566567,-2.07387,6.20748,0.3,0.05,-0.0590637,-2.0823,6.20134
-0.0579351,-2.07694,6.20648,0.3,0.05,-0.0589219,-2.08503,6.20118
-0.0586882,-2.07961,6.20547,0.3,0.05,-0.060211,-2.0877,6.19997
-0.0594465,-2.08235,6.20447,0.3,0.05,-0.0610972,-2.09043,6.19931
-0.0600357,-2.08577,6.20347,0.3,0.05,-0.0621511,-2.0932,6.19829
-0.0608359,-2.08899,6.20246,0.3,0.05,-0.0483528,-2.09617,6.20047
-0.0612522,-2.09105,6.20194,0.3,0.05,-0.0653193,-2.09687,6.19602
-0.0614465,-2.09295,6.20146,0.3,0.05,-0.0653289,-2.09878,6.19607
-0.0623435,-2.09545,6.20046,0.3,0.05,-0.0656997,-2.09971,6.19567
-0.0629195,-2.09665,6.19995,0.3,0.05,-0.066429,-2.10161,6.19495
-0.0636429,-2.09824,6.19945,0.3,0.05,-0.0667829,-2.10256,6.19461
-0.0647002,-2.09964,6.19895,0.3,0.05,-0.067498,-2.10449,6.19397
-0.0676236,-2.0981,6.19845,0.3,0.05,-0.0678759,-2.10544,6.19398
-0.0687368,-2.09962,6.19795,0.3,0.05,-0.068656,-2.10737,6.19323
-0.0695925,-2.10142,6.19744,0.3,0.05,-0.042852,-2.11063,6.19878
-0.0705721,-2.10289,6.19694,0.3,0.05,-0.0718217,-2.11121,6.19109
-0.0715931,-2.10429,6.19644,0.3,0.05,-0.0718684,-2.11324,6.19114
-0.0730981,-2.10718,6.19544,0.3,0.05,-0.0718787,-2.11419,6.1909
-0.0739758,-2.10905,6.19493,0.3,0.05,-0.0735937,-2.11716,6.18967
-0.0754615,-2.11137,6.19442,0.3,0.05,-0.0613219,-2.12037,6.19201
-0.0773633,-2.11477,6.19343,0.3,0.05,-0.0758058,-2.12225,6.18824
-0.0793145,-2.11813,6.19243,0.3,0.05,-0.0762384,-2.12319,6.18793
-0.0801047,-2.12055,6.19193,0.3,0.05,-0.0786668,-2.1262,6.18638
-0.080784,-2.12279,6.19143,0.3,0.05,-0.0792179,-2.12928,6.18609
-0.0818721,-2.12604,6.19043,0.3,0.05,-0.0802627,-2.13137,6.18524
-0.0834811,-2.13009,6.18942,0.3,0.05,-0.0817557,-2.13446,6.18421
-0.0869203,-2.13109,6.18842,0.3,0.05,-0.0822491,-2.13549,6.18388
-0.0897085,-2.1309,6.18792,0.3,0.05,-0.0833058,-2.13762,6.18342
-0.0925655,-2.13068,6.18742,0.3,0.05,-0.084851,-2.14078,6.18232
-0.0943806,-2.1348,6.18641,0.3,0.05,-0.0867548,-2.14395,6.18111
-0.0960282,-2.13869,6.18542,0.3,0.05,-0.0869013,-2.14502,6.18099
-0.0969491,-2.14081,6.18492,0.3,0.05,-0.0885069,-2.14712,6.18014
-0.0976871,-2.14258,6.18442,0.3,0.05,-0.0620774,-2.1509,6.18591
