xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
0.991358,-2.24537,6.257,0.3,0.05,-0.0448762,-2.04669,6.21669
0.992996,-2.25299,6.25651,0.3,0.05,-0.0446926,-2.0482,6.2162
0.99793,-2.26384,6.25601,0.3,0.05,-0.0443987,-2.04895,6.21597
1.00619,-2.27799,6.25551,0.3,0.05,-0.0450086,-2.05043,6.21534
1.01793,-2.2959,6.25502,0.3,0.05,-0.0447583,-2.0512,6.21539
1.01465,-2.3035,6.25453,0.3,0.05,-0.0456874,-2.05271,6.21464
1.01506,-2.31488,6.25405,0.3,0.05,-0.0469834,-2.05344,6.21376
1.01833,-2.32924,6.25356,0.3,0.05,-0.0480264,-2.05498,6.21263
1.02453,-2.34706,6.25308,0.3,0.05,-0.04833,-2.05572,6.21222
1.03393,-2.3682,6.2526,0.3,0.05,-0.0489682,-2.05732,6.21181
1.05415,-2.39919,6.25213,0.3,0.05,-0.0491836,-2.0581,6.21153
1.03422,-2.40013,6.25166,0.3,0.05,-0.0490381,-2.0597,6.21114
1.01872,-2.40524,6.25119,0.3,0.05,-0.0492054,-2.06047,6.21077
0.950893,-2.36949,6.25071,0.3,0.05,-0.0364051,-2.06305,6.21323
0.911909,-2.35793,6.25023,0.3,0.05,-0.050123,-2.06454,6.20957
0.83083,-2.3183,6.24923,0.3,0.05,-0.0526615,-2.06692,6.20758
0.763978,-2.28933,6.24822,0.3,0.05,-0.0537364,-2.06942,6.20658
0.700432,-2.26185,6.24719,0.3,0.05,-0.0540177,-2.07028,6.2064
0.640683,-2.23164,6.24666,0.3,0.05,-0.0538971,-2.07196,6.20611
0.583419,-2.20303,6.24613,0.3,0.05,-0.0537377,-2.07283,6.20579
0.528521,-2.17568,6.24559,0.3,0.05,-0.0545855,-2.07452,6.20501
0.475292,-2.14767,6.24504,0.3,0.05,-0.0548047,-2.07537,6.20469
0.423461,-2.11975,6.24449,0.3,0.05,-0.0553052,-2.07713,6.20444
0.373633,-2.09304,6.24394,0.3,0.05,-0.0555757,-2.07799,6.20417
0.33837,-2.08043,6.24337,0.3,0.05,-0.0569696,-2.07971,6.20299
0.304127,-2.06805,6.24282,0.3,0.05,-0.0590637,-2.0823,6.20134
0.294568,-2.08597,6.24177,0.3,0.05,-0.0589219,-2.08503,6.20118
0.286017,-2.10342,6.24072,0.3,0.05,-0.060211,-2.0877,6.19997
0.278067,-2.12106,6.23968,0.3,0.05,-0.0610972,-2.09043,6.19931
0.241803,-2.10614,6.23864,0.3,0.05,-0.0621511,-2.0932,6.19829
0.206462,-2.09057,6.23759,0.3,0.05,-0.0483528,-2.09617,6.20047
0.172425,-2.07275,6.23701,0.3,0.05,-0.0653193,-2.09687,6.19602
0.139348,-2.05418,6.23647,0.3,0.05,-0.0653289,-2.09878,6.19607
0.106524,-2.03567,6.23541,0.3,0.05,-0.0656997,-2.09971,6.19567
0.0743894,-2.01463,6.23483,0.3,0.05,-0.066429,-2.10161,6.19495
0.0426544,-1.99284,6.23427,0.3,0.05,-0.0667829,-2.10256,6.19461
0.0110566,-1.96947,6.2337,0.3,0.05,-0.067498,-2.10449,6.19397
-0.0342137,-1.92507,6.23312,0.3,0.05,-0.0678759,-2.10544,6.19398
-0.0700896,-1.89199,6.23253,0.3,0.05,-0.068656,-2.10737,6.19323
