xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.155444,-2.01074,6.19418,0.3,0.05,-0.0448762,-2.04669,6.21669
-0.155786,-2.01049,6.19368,0.3,0.05,-0.0446926,-2.0482,6.2162
-0.156426,-2.01006,6.19318,0.3,0.05,-0.0443987,-2.04895,6.21597
-0.157332,-2.0094,6.19268,0.3,0.05,-0.0450086,-2.05043,6.21534
-0.158575,-2.00886,6.19218,0.3,0.05,-0.0447583,-2.0512,6.21539
-0.159808,-2.00831,6.19168,0.3,0.05,-0.0456874,-2.05271,6.21464
-0.161268,-2.00777,6.19118,0.3,0.05,-0.0469834,-2.05344,6.21376
-0.163259,-2.00599,6.19068,0.3,0.05,-0.0480264,-2.05498,6.21263
-0.165892,-2.00325,6.19017,0.3,0.05,-0.04833,-2.05572,6.21222
-0.168712,-1.99935,6.18967,0.3,0.05,-0.0489682,-2.05732,6.21181
-0.168473,-2.00071,6.18916,0.3,0.05,-0.0491836,-2.0581,6.21153
-0.168244,-2.0021,6.18866,0.3,0.05,-0.0490381,-2.0597,6.21114
-0.168102,-2.00343,6.18816,0.3,0.05,-0.0492054,-2.06047,6.21077
-0.167968,-2.00477,6.18765,0.3,0.05,-0.0364051,-2.06305,6.21323
-0.167844,-2.00613,6.18715,0.3,0.05,-0.050123,-2.06454,6.20957
-0.167854,-2.00858,6.18615,0.3,0.05,-0.0526615,-2.06692,6.20758
-0.165753,-2.01475,6.18514,0.3,0.05,-0.0537364,-2.06942,6.20658
-0.163842,-2.02057,6.18414,0.3,0.05,-0.0540177,-2.07028,6.2064
-0.16229,-2.02477,6.18364,0.3,0.05,-0.0538971,-2.07196,6.20611
-0.1609,-2.0288,6.18314,0.3,0.05,-0.0537377,-2.07283,6.20579
-0.15954,-2.03273,6.18265,0.3,0.05,-0.0545855,-2.07452,6.20501
-0.158181,-2.03491,6.18215,0.3,0.05,-0.0548047,-2.07537,6.20469
-0.15725,-2.03636,6.18165,0.3,0.05,-0.0553052,-2.07713,6.20444
-0.156331,-2.03866,6.18115,0.3,0.05,-0.0555757,-2.07799,6.20417
-0.155159,-2.0415,6.18064,0.3,0.05,-0.0569696,-2.07971,6.20299
-0.154382,-2.04446,6.18015,0.3,0.05,-0.0590637,-2.0823,6.20134
-0.153971,-2.04875,6.17915,0.3,0.05,-0.0589219,-2.08503,6.20118
-0.153244,-2.05247,6.17816,0.3,0.05,-0.060211,-2.0877,6.19997
-0.152749,-2.05604,6.17716,0.3,0.05,-0.0610972,-2.09043,6.19931
-0.152303,-2.05966,6.17616,0.3,0.05,-0.0621511,-2.0932,6.19829
-0.152263,-2.06287,6.17517,0.3,0.05,-0.0483528,-2.09617,6.20047
-0.152116,-2.06462,6.17465,0.3,0.05,-0.0653193,-2.09687,6.19602
-0.151942,-2.06598,6.17418,0.3,0.05,-0.0653289,-2.09878,6.19607
-0.152534,-2.0678,6.17318,0.3,0.05,-0.0656997,-2.09971,6.19567
-0.153073,-2.06798,6.17267,0.3,0.05,-0.066429,-2.10161,6.19495
-0.153966,-2.06828,6.17219,0.3,0.05,-0.0667829,-2.10256,6.19461
-0.155363,-2.0681,6.17169,0.3,0.05,-0.067498,-2.10449,6.19397
-0.156752,-2.06792,6.17119,0.3,0.05,-0.0678759,-2.10544,6.19398
-0.156451,-2.07092,6.17069,0.3,0.05,-0.068656,-2.10737,6.19323
-0.156104,-2.07399,6.1702,0.3,0.05,-0.042852,-2.11063,6.19878
-0.155781,-2.07708,6.1697,0.3,0.05,-0.0718217,-2.11121,6.19109
-0.155694,-2.07987,6.1692,0.3,0.05,-0.0718684,-2.11324,6.19114
-0.156163,-2.08417,6.16821,0.3,0.05,-0.0718787,-2.11419,6.1909
-0.156278,-2.08715,6.16771,0.3,0.05,-0.0735937,-2.11716,6.18967
-0.157206,-2.09036,6.1672,0.3,0.05,-0.0613219,-2.12037,6.19201
