xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.0420409,-2.05653,6.22216,0.399754,0.0891097,-0.0448762,-2.04669,6.21669
-0.0423753,-2.05672,6.22161,0.399754,0.0891097,-0.0446926,-2.0482,6.2162
-0.0427517,-2.05717,6.22107,0.399754,0.0891097,-0.0443987,-2.04895,6.21597
-0.043144,-2.05783,6.22052,0.399754,0.0891097,-0.0450086,-2.05043,6.21534
-0.0436102,-2.05905,6.21998,0.399755,0.0891098,-0.0447583,-2.0512,6.21539
-0.0438237,-2.0604,6.21943,0.399755,0.0891099,-0.0456874,-2.05271,6.21464
-0.0440099,-2.06223,6.21889,0.399755,0.0891099,-0.0469834,-2.05344,6.21376
-0.0443825,-2.0636,6.21835,0.399755,0.08911,-0.0480264,-2.05498,6.21263
-0.045173,-2.06459,6.2178,0.399755,0.0891101,-0.04833,-2.05572,6.21222
-0.0459652,-2.06502,6.21726,0.399755,0.0891102,-0.0489682,-2.05732,6.21181
-0.0468477,-2.06548,6.21671,0.399756,0.0891103,-0.0491836,-2.0581,6.21153
-0.0474434,-2.0658,6.21617,0.399757,0.0891104,-0.0490381,-2.0597,6.21114
-0.0478446,-2.06663,6.21562,0.399758,0.0891105,-0.0492054,-2.06047,6.21077
-0.0484749,-2.06703,6.21508,0.399759,0.0891107,-0.0364051,-2.06305,6.21323
-0.0490794,-2.06799,6.21453,0.39976,0.0891109,-0.050123,-2.06454,6.20957
-0.0505135,-2.06964,6.21344,0.399761,0.0891112,-0.0526615,-2.06692,6.20758
-0.0520912,-2.07091,6.21235,0.399764,0.0891117,-0.0537364,-2.06942,6.20658
-0.053525,-2.07227,6.21126,0.399767,0.0891123,-0.0540177,-2.07028,6.2064
-0.0547881,-2.07245,6.21071,0.399771,0.0891129,-0.0538971,-2.07196,6.20611
-0.055936,-2.07286,6.21017,0.399775,0.0891137,-0.0537377,-2.07283,6.20579
-0.0568501,-2.07354,6.20962,0.399779,0.0891146,-0.0545855,-2.07452,6.20501
-0.0575956,-2.0729,6.20907,0.399784,0.0891156,-0.0548047,-2.07537,6.20469
-0.058537,-2.07187,6.20853,0.399789,0.0891168,-0.0553052,-2.07713,6.20444
-0.059222,-2.0719,6.20798,0.399794,0.0891181,-0.0555757,-2.07799,6.20417
-0.0596874,-2.07234,6.20742,0.399799,0.0891195,-0.0569696,-2.07971,6.20299
-0.0602859,-2.07316,6.20689,0.399804,0.0891212,-0.0590637,-2.0823,6.20134
