xji,yji,thetaji,vj,wj
-0.0394061,-2.08569,6.22732,0.3,0.05
-0.0398885,-2.0866,6.22682,0.3,0.05
-0.0404048,-2.08753,6.22632,0.3,0.05
-0.0409282,-2.08846,6.22582,0.3,0.05
-0.0415038,-2.0894,6.22532,0.3,0.05
-0.0418157,-2.09035,6.22482,0.3,0.05
-0.0420751,-2.09132,6.22432,0.3,0.05
-0.0425225,-2.09229,6.22382,0.3,0.05
-0.0434018,-2.09325,6.22332,0.3,0.05
-0.0442964,-2.09422,6.22282,0.3,0.05
-0.0452795,-2.09519,6.22232,0.3,0.05
-0.0459823,-2.09617,6.22182,0.3,0.05
-0.0464752,-2.09716,6.22132,0.3,0.05
-0.0472099,-2.09815,6.22082,0.3,0.05
-0.0479023,-2.09915,6.22032,0.3,0.05
-0.0495881,-2.10116,6.21932,0.3,0.05
-0.0514371,-2.10317,6.21832,0.3,0.05
-0.0531554,-2.10521,6.21732,0.3,0.05
-0.0545659,-2.10621,6.21682,0.3,0.05
-0.0558609,-2.10721,6.21632,0.3,0.05
-0.0569186,-2.10822,6.21582,0.3,0.05
-0.0578479,-2.10923,6.21532,0.3,0.05
-0.059002,-2.11025,6.21482,0.3,0.05
-0.059867,-2.11127,6.21432,0.3,0.05
-0.0605132,-2.11233,6.21381,0.3,0.05
-0.0612757,-2.11334,6.21332,0.3,0.05
-0.0630284,-2.11546,6.21232,0.3,0.05
-0.0642745,-2.11762,6.21132,0.3,0.05
-0.0655276,-2.1198,6.21032,0.3,0.05
-0.0665949,-2.12202,6.20932,0.3,0.05
-0.0678695,-2.12427,6.20832,0.3,0.05
-0.0685961,-2.12543,6.2078,0.3,0.05
-0.0690988,-2.12651,6.20732,0.3,0.05
-0.0704991,-2.12881,6.20632,0.3,0.05
-0.0714356,-2.12996,6.20581,0.3,0.05
-0.0725138,-2.13107,6.20532,0.3,0.05
-0.0739442,-2.13219,6.20482,0.3,0.05
-0.0754709,-2.1333,6.20432,0.3,0.05
-0.0771119,-2.13441,6.20382,0.3,0.05
-0.0785035,-2.13553,6.20332,0.3,0.05
-0.0800387,-2.13664,6.20282,0.3,0.05
-0.0816328,-2.13774,6.20232,0.3,0.05
-0.0838826,-2.14006,6.20132,0.3,0.05
-0.085354,-2.14117,6.20082,0.3,0.05
-0.0874286,-2.14228,6.20031,0.3,0.05
-0.0900782,-2.14455,6.19932,0.3,0.05
-0.0927892,-2.14685,6.19832,0.3,0.05
-0.0942108,-2.14795,6.19781,0.3,0.05
-0.0955452,-2.14905,6.19731,0.3,0.05
-0.0974449,-2.15141,6.19631,0.3,0.05
-0.0998499,-2.15378,6.1953,0.3,0.05
-0.10181,-2.15614,6.19431,0.3,0.05
-0.10305,-2.15726,6.19381,0.3,0.05
-0.104399,-2.15839,6.19331,0.3,0.05
-0.106386,-2.16083,6.1923,0.3,0.05
-0.108205,-2.16324,6.19131,0.3,0.05
-0.109204,-2.1644,6.19081,0.3,0.05
-0.11005,-2.16558,6.19031,0.3,0.05
-0.110999,-2.16679,6.1898,0.3,0.05
-0.112001,-2.16797,6.1893,0.3,0.05
-0.113897,-2.17044,6.18831,0.3,0.05
-0.114893,-2.17164,6.18781,0.3,0.05
-0.11554,-2.17289,6.1873,0.3,0.05
-0.117093,-2.17544,6.18631,0.3,0.05
-0.117533,-2.1767,6.1858,0.3,0.05
-0.118162,-2.17796,6.1853,0.3,0.05
-0.119794,-2.18062,6.18429,0.3,0.05
-0.120083,-2.1819,6.1838,0.3,0.05
-0.120525,-2.1832,6.1833,0.3,0.05
-0.121944,-2.18592,6.1823,0.3,0.05
-0.123375,-2.1887,6.18129,0.3,0.05
-0.123721,-2.19004,6.1808,0.3,0.05
-0.124438,-2.19139,6.1803,0.3,0.05
-0.126314,-2.19418,6.1793,0.3,0.05
-0.127597,-2.19552,6.17879,0.3,0.05
-0.128947,-2.19686,6.17829,0.3,0.05
-0.13018,-2.19824,6.17778,0.3,0.05
-0.131298,-2.19957,6.17729,0.3,0.05
-0.133388,-2.20241,6.17629,0.3,0.05
-0.135358,-2.20527,6.17529,0.3,0.05
-0.136393,-2.20667,6.17479,0.3,0.05
-0.137551,-2.20806,6.17429,0.3,0.05
-0.139883,-2.21094,6.17328,0.3,0.05
-0.142111,-2.21385,6.17228,0.3,0.05
-0.142942,-2.2153,6.17178,0.3,0.05
-0.143934,-2.21673,6.17128,0.3,0.05
-0.146308,-2.21968,6.17028,0.3,0.05
-0.147781,-2.2211,6.16978,0.3,0.05
-0.149326,-2.22252,6.16928,0.3,0.05
-0.150734,-2.22398,6.16876,0.3,0.05
-0.151911,-2.2254,6.16827,0.3,0.05
-0.154363,-2.22842,6.16726,0.3,0.05
-0.155503,-2.22985,6.16677,0.3,0.05
-0.156628,-2.23132,6.16627,0.3,0.05
-0.157947,-2.23278,6.16577,0.3,0.05
-0.15942,-2.23427,6.16525,0.3,0.05
-0.162156,-2.23726,6.16426,0.3,0.05
-0.164963,-2.24028,6.16326,0.3,0.05
-0.166247,-2.24177,6.16276,0.3,0.05
-0.167096,-2.24329,6.16226,0.3,0.05
-0.168853,-2.24644,6.16126,0.3,0.05
-0.169649,-2.248,6.16075,0.3,0.05
-0.170256,-2.24959,6.16025,0.3,0.05
-0.171125,-2.25116,6.15975,0.3,0.05
-0.172161,-2.25273,6.15925,0.3,0.05
-0.173193,-2.25431,6.15875,0.3,0.05
-0.173894,-2.25592,6.15824,0.3,0.05
-0.175702,-2.2592,6.15724,0.3,0.05
-0.177882,-2.26251,6.15623,0.3,0.05
-0.18048,-2.26575,6.15524,0.3,0.05
-0.182979,-2.26909,6.15423,0.3,0.05
-0.185326,-2.27239,6.15323,0.3,0.05
-0.186239,-2.27408,6.15273,0.3,0.05
-0.187451,-2.27576,6.15223,0.3,0.05
-0.188879,-2.27741,6.15173,0.3,0.05
-0.190259,-2.27908,6.15123,0.3,0.05
-0.193533,-2.28241,6.15022,0.3,0.05
-0.195431,-2.28404,6.14972,0.3,0.05
-0.197625,-2.28571,6.1492,0.3,0.05
-0.201295,-2.28893,6.14822,0.3,0.05
-0.202876,-2.29066,6.1477,0.3,0.05
-0.204476,-2.29224,6.14721,0.3,0.05
-0.20772,-2.29559,6.14621,0.3,0.05
-0.209206,-2.29727,6.14571,0.3,0.05
-0.210122,-2.29904,6.1452,0.3,0.05
-0.211124,-2.30074,6.1447,0.3,0.05
-0.212104,-2.30249,6.1442,0.3,0.05
-0.213129,-2.30425,6.1437,0.3,0.05
-0.214072,-2.30602,6.1432,0.3,0.05
-0.216809,-2.30952,6.1422,0.3,0.05
-0.219509,-2.31304,6.14119,0.3,0.05
-0.222309,-2.31658,6.14019,0.3,0.05
-0.225259,-2.32013,6.13919,0.3,0.05
-0.228373,-2.32368,6.13819,0.3,0.05
-0.2297,-2.3255,6.13768,0.3,0.05
-0.231274,-2.3273,6.13718,0.3,0.05
-0.232697,-2.32911,6.13668,0.3,0.05
-0.234124,-2.33093,6.13618,0.3,0.05
-0.237558,-2.33451,6.13518,0.3,0.05
-0.239286,-2.33631,6.13467,0.3,0.05
-0.240966,-2.33812,6.13417,0.3,0.05
-0.242581,-2.33999,6.13366,0.3,0.05
-0.243805,-2.34182,6.13317,0.3,0.05
-0.245105,-2.34369,6.13266,0.3,0.05
-0.246547,-2.34559,6.13215,0.3,0.05
-0.247917,-2.34743,6.13166,0.3,0.05
-0.249535,-2.34929,6.13116,0.3,0.05
-0.251079,-2.3512,6.13065,0.3,0.05
-0.252168,-2.35309,6.13015,0.3,0.05
-0.253241,-2.35502,6.12965,0.3,0.05
-0.254108,-2.357,6.12915,0.3,0.05
-0.257135,-2.36077,6.12815,0.3,0.05
-0.258422,-2.36273,6.12764,0.3,0.05
-0.259777,-2.36472,6.12713,0.3,0.05
-0.263395,-2.36844,6.12614,0.3,0.05
-0.266632,-2.37225,6.12514,0.3,0.05
