xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.0427161,-2.05665,6.22153,0.399892,0.0891898,-0.0448762,-2.04669,6.21669
-0.0430533,-2.05682,6.22099,0.399892,0.0891898,-0.0446926,-2.0482,6.2162
-0.0434326,-2.05727,6.22045,0.399892,0.0891899,-0.0443987,-2.04895,6.21597
-0.0438278,-2.05793,6.21991,0.399892,0.0891899,-0.0450086,-2.05043,6.21534
-0.0442959,-2.05916,6.21936,0.399892,0.08919,-0.0447583,-2.0512,6.21539
-0.0445088,-2.06051,6.21882,0.399892,0.08919,-0.0456874,-2.05271,6.21464
-0.0446925,-2.06236,6.21828,0.399892,0.0891901,-0.0469834,-2.05344,6.21376
-0.0450704,-2.06373,6.21774,0.399892,0.0891902,-0.0480264,-2.05498,6.21263
-0.0458882,-2.06473,6.2172,0.399892,0.0891903,-0.04833,-2.05572,6.21222
-0.0467127,-2.06515,6.21666,0.399893,0.0891903,-0.0489682,-2.05732,6.21181
-0.0476292,-2.06561,6.21612,0.399894,0.0891905,-0.0491836,-2.0581,6.21153
-0.0482575,-2.06592,6.21558,0.399895,0.0891906,-0.0490381,-2.0597,6.21114
-0.0486863,-2.06676,6.21504,0.399896,0.0891907,-0.0492054,-2.06047,6.21077
-0.0493531,-2.06715,6.2145,0.399897,0.0891909,-0.0364051,-2.06305,6.21323
-0.0499932,-2.06811,6.21396,0.399898,0.0891911,-0.050123,-2.06454,6.20957
-0.051483,-2.06977,6.21287,0.3999,0.0891915,-0.0526615,-2.06692,6.20758
-0.0531214,-2.07103,6.21179,0.399903,0.0891919,-0.0537364,-2.06942,6.20658
-0.054617,-2.07237,6.21071,0.399906,0.0891925,-0.0540177,-2.07028,6.2064
-0.0559527,-2.07254,6.21017,0.399911,0.0891932,-0.0538971,-2.07196,6.20611
-0.0571743,-2.07294,6.20963,0.399915,0.089194,-0.0537377,-2.07283,6.20579
-0.0581606,-2.07361,6.20908,0.39992,0.0891949,-0.0545855,-2.07452,6.20501
-0.05897,-2.07287,6.20854,0.399925,0.0891959,-0.0548047,-2.07537,6.20469
-0.0599815,-2.07172,6.208,0.399931,0.0891971,-0.0553052,-2.07713,6.20444
-0.0607187,-2.07172,6.20745,0.399936,0.0891984,-0.0555757,-2.07799,6.20417
-0.061234,-2.07211,6.2069,0.399942,0.0892,-0.0569696,-2.07971,6.20299
-0.0618882,-2.07291,6.20637,0.399948,0.0892016,-0.0590637,-2.0823,6.20134
-0.0633836,-2.07587,6.20528,0.399954,0.0892036,-0.0589219,-2.08503,6.20118
-0.0643606,-2.07843,6.2042,0.399961,0.0892059,-0.060211,-2.0877,6.19997
-0.065353,-2.08104,6.20312,0.399968,0.0892085,-0.0610972,-2.09043,6.19931
-0.0661889,-2.08432,6.20204,0.399974,0.0892114,-0.0621511,-2.0932,6.19829
-0.0672459,-2.08739,6.20096,0.399981,0.0892146,-0.0483528,-2.09617,6.20047
-0.0679355,-2.08928,6.20039,0.399987,0.0892179,-0.0653193,-2.09687,6.19602
-0.0684155,-2.091,6.19987,0.399994,0.0892213,-0.0653289,-2.09878,6.19607
-0.0695991,-2.09329,6.19879,0.400001,0.089225,-0.0656997,-2.09971,6.19567
-0.0704826,-2.09427,6.19824,0.400008,0.0892288,-0.066429,-2.10161,6.19495
-0.0715317,-2.0956,6.19771,0.400015,0.0892327,-0.0667829,-2.10256,6.19461
-0.0729282,-2.09671,6.19717,0.400022,0.0892367,-0.067498,-2.10449,6.19397
-0.0744023,-2.09731,6.19663,0.400031,0.0892409,-0.0678759,-2.10544,6.19398
-0.07601,-2.09848,6.19609,0.400039,0.0892453,-0.068656,-2.10737,6.19323
-0.0773743,-2.09992,6.19555,0.400048,0.0892498,-0.042852,-2.11063,6.19878
-0.0788729,-2.10101,6.19501,0.400058,0.0892544,-0.0718217,-2.11121,6.19109
-0.0804265,-2.102,6.19447,0.400068,0.0892591,-0.0718684,-2.11324,6.19114
-0.0824664,-2.10446,6.19339,0.400079,0.0892642,-0.0718787,-2.11419,6.1909
-0.0839094,-2.10588,6.19285,0.40009,0.0892694,-0.0735937,-2.11716,6.18967
-0.0859835,-2.1077,6.1923,0.400102,0.0892748,-0.0613219,-2.12037,6.19201
-0.0884654,-2.11056,6.19123,0.400115,0.0892804,-0.0758058,-2.12225,6.18824
-0.0910067,-2.11332,6.19016,0.40013,0.0892863,-0.0762384,-2.12319,6.18793
-0.0924318,-2.11512,6.18962,0.400145,0.0892923,-0.0786668,-2.1262,6.18638
-0.0937616,-2.1167,6.18908,0.40016,0.0892984,-0.0792179,-2.12928,6.18609
-0.0954735,-2.11919,6.18801,0.400176,0.0893048,-0.0802627,-2.13137,6.18524
-0.0977317,-2.1224,6.18693,0.400192,0.0893115,-0.0817557,-2.13446,6.18421
-0.0995735,-2.12594,6.18587,0.400209,0.0893184,-0.0822491,-2.13549,6.18388
-0.100862,-2.12826,6.18533,0.400226,0.0893254,-0.0833058,-2.13762,6.18342
-0.102268,-2.13056,6.1848,0.400244,0.0893325,-0.084851,-2.14078,6.18232
-0.10419,-2.13444,6.18372,0.400261,0.0893397,-0.0867548,-2.14395,6.18111
-0.105956,-2.13809,6.18266,0.400279,0.089347,-0.0869013,-2.14502,6.18099
-0.107017,-2.13997,6.18213,0.400297,0.0893544,-0.0885069,-2.14712,6.18014
-0.107908,-2.1415,6.18159,0.400316,0.0893619,-0.0620774,-2.1509,6.18591
-0.108906,-2.14318,6.18105,0.400334,0.0893694,-0.0904248,-2.15146,6.17884
-0.109948,-2.14459,6.18052,0.400352,0.0893769,-0.0919888,-2.1536,6.17822
-0.111764,-2.14741,6.17946,0.400371,0.0893846,-0.0926007,-2.15471,6.17782
-0.112817,-2.14917,6.17893,0.400389,0.0893923,-0.0937031,-2.15691,6.17722
-0.113516,-2.151,6.17839,0.400408,0.0894,-0.0948106,-2.16023,6.17647
-0.114995,-2.15393,6.17734,0.400426,0.0894079,-0.0961872,-2.16126,6.17576
-0.115466,-2.15537,6.17681,0.400445,0.0894158,-0.0981588,-2.16458,6.1748
-0.116149,-2.15721,6.17628,0.400463,0.0894237,-0.0995087,-2.16685,6.17409
