xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.0427083,-2.05637,6.21976,0.3,0.05,-0.0448762,-2.04669,6.21669
-0.0430408,-2.05658,6.21926,0.3,0.05,-0.0446926,-2.0482,6.2162
-0.0434154,-2.05705,6.21876,0.3,0.05,-0.0443987,-2.04895,6.21597
-0.043806,-2.05774,6.21826,0.3,0.05,-0.0450086,-2.05043,6.21534
-0.0442694,-2.05899,6.21776,0.3,0.05,-0.0447583,-2.0512,6.21539
-0.0444776,-2.06037,6.21726,0.3,0.05,-0.0456874,-2.05271,6.21464
-0.0446564,-2.06224,6.21676,0.3,0.05,-0.0469834,-2.05344,6.21376
-0.0450294,-2.06363,6.21626,0.3,0.05,-0.0480264,-2.05498,6.21263
-0.0458421,-2.06464,6.21576,0.3,0.05,-0.04833,-2.05572,6.21222
-0.0466614,-2.06507,6.21526,0.3,0.05,-0.0489682,-2.05732,6.21181
-0.0475726,-2.06554,6.21476,0.3,0.05,-0.0491836,-2.0581,6.21153
-0.0481953,-2.06586,6.21426,0.3,0.05,-0.0490381,-2.0597,6.21114
-0.0486185,-2.06671,6.21376,0.3,0.05,-0.0492054,-2.06047,6.21077
-0.0492794,-2.06711,6.21326,0.3,0.05,-0.0364051,-2.06305,6.21323
-0.0499132,-2.06808,6.21276,0.3,0.05,-0.050123,-2.06454,6.20957
-0.051393,-2.06977,6.21175,0.3,0.05,-0.0526615,-2.06692,6.20758
-0.0530213,-2.07106,6.21075,0.3,0.05,-0.0537364,-2.06942,6.20658
-0.0545067,-2.07243,6.20975,0.3,0.05,-0.0540177,-2.07028,6.2064
-0.0558354,-2.0726,6.20925,0.3,0.05,-0.0538971,-2.07196,6.20611
-0.0570498,-2.073,6.20875,0.3,0.05,-0.0537377,-2.07283,6.20579
-0.0580286,-2.07367,6.20824,0.3,0.05,-0.0545855,-2.07452,6.20501
-0.0588305,-2.07293,6.20774,0.3,0.05,-0.0548047,-2.07537,6.20469
-0.0598345,-2.07178,6.20724,0.3,0.05,-0.0553052,-2.07713,6.20444
-0.0605638,-2.07178,6.20674,0.3,0.05,-0.0555757,-2.07799,6.20417
-0.061071,-2.07218,6.20622,0.3,0.05,-0.0569696,-2.07971,6.20299
-0.0617168,-2.07297,6.20573,0.3,0.05,-0.0590637,-2.0823,6.20134
-0.0632023,-2.07595,6.20473,0.3,0.05,-0.0589219,-2.08503,6.20118
-0.0641694,-2.07852,6.20372,0.3,0.05,-0.060211,-2.0877,6.19997
-0.0651519,-2.08115,6.20272,0.3,0.05,-0.0610972,-2.09043,6.19931
-0.0659778,-2.08443,6.20172,0.3,0.05,-0.0621511,-2.0932,6.19829
-0.0670248,-2.08751,6.20071,0.3,0.05,-0.0483528,-2.09617,6.20047
-0.0677044,-2.0894,6.20019,0.3,0.05,-0.0653193,-2.09687,6.19602
-0.0681741,-2.09112,6.19971,0.3,0.05,-0.0653289,-2.09878,6.19607
-0.0693477,-2.09342,6.19871,0.3,0.05,-0.0656997,-2.09971,6.19567
-0.0702205,-2.09439,6.19819,0.3,0.05,-0.066429,-2.10161,6.19495
-0.0712583,-2.09572,6.1977,0.3,0.05,-0.0667829,-2.10256,6.19461
-0.0726434,-2.09683,6.1972,0.3,0.05,-0.067498,-2.10449,6.19397
-0.0741057,-2.09744,6.19669,0.3,0.05,-0.0678759,-2.10544,6.19398
-0.0757013,-2.0986,6.19619,0.3,0.05,-0.068656,-2.10737,6.19323
-0.0770532,-2.10005,6.19569,0.3,0.05,-0.042852,-2.11063,6.19878
-0.0785392,-2.10114,6.19519,0.3,0.05,-0.0718217,-2.11121,6.19109
-0.0800798,-2.10214,6.19468,0.3,0.05,-0.0718684,-2.11324,6.19114
-0.0821102,-2.1046,6.19368,0.3,0.05,-0.0718787,-2.11419,6.1909
-0.0835396,-2.10601,6.19318,0.3,0.05,-0.0735937,-2.11716,6.18967
-0.0855998,-2.10784,6.19266,0.3,0.05,-0.0613219,-2.12037,6.19201
-0.0880727,-2.11069,6.19167,0.3,0.05,-0.0758058,-2.12225,6.18824
-0.0906054,-2.11346,6.19067,0.3,0.05,-0.0762384,-2.12319,6.18793
-0.092016,-2.11526,6.19016,0.3,0.05,-0.0786668,-2.1262,6.18638
-0.0933312,-2.11684,6.18966,0.3,0.05,-0.0792179,-2.12928,6.18609
-0.0950362,-2.11933,6.18866,0.3,0.05,-0.0802627,-2.13137,6.18524
-0.0972879,-2.12254,6.18765,0.3,0.05,-0.0817557,-2.13446,6.18421
-0.0991233,-2.12606,6.18665,0.3,0.05,-0.0822491,-2.13549,6.18388
-0.100397,-2.1284,6.18615,0.3,0.05,-0.0833058,-2.13762,6.18342
-0.101787,-2.13069,6.18565,0.3,0.05,-0.084851,-2.14078,6.18232
-0.103705,-2.13456,6.18464,0.3,0.05,-0.0867548,-2.14395,6.18111
-0.105467,-2.13821,6.18365,0.3,0.05,-0.0869013,-2.14502,6.18099
-0.106513,-2.14009,6.18315,0.3,0.05,-0.0885069,-2.14712,6.18014
-0.107389,-2.14163,6.18264,0.3,0.05,-0.0620774,-2.1509,6.18591
-0.108371,-2.14332,6.18213,0.3,0.05,-0.0904248,-2.15146,6.17884
-0.109398,-2.14473,6.18163,0.3,0.05,-0.0919888,-2.1536,6.17822
-0.111214,-2.14754,6.18064,0.3,0.05,-0.0926007,-2.15471,6.17782
-0.112251,-2.14931,6.18014,0.3,0.05,-0.0937031,-2.15691,6.17722
-0.112935,-2.15115,6.17963,0.3,0.05,-0.0948106,-2.16023,6.17647
-0.114416,-2.15407,6.17864,0.3,0.05,-0.0961872,-2.16126,6.17576
-0.11487,-2.15552,6.17814,0.3,0.05,-0.0981588,-2.16458,6.1748
-0.115538,-2.15738,6.17764,0.3,0.05,-0.0995087,-2.16685,6.17409
-0.117061,-2.15983,6.17662,0.3,0.05,-0.100138,-2.16792,6.17376
-0.117321,-2.16073,6.17613,0.3,0.05,-0.0883826,-2.1716,6.17601
