xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.0337822,-2.062,6.25449,0.399891,0.0891949,-0.0448762,-2.04669,6.21669
-0.0344667,-2.06161,6.25339,0.399891,0.0891949,-0.0446926,-2.0482,6.2162
-0.0351699,-2.06154,6.25228,0.399892,0.0891949,-0.0443987,-2.04895,6.21597
-0.0358674,-2.06173,6.25117,0.399892,0.089195,-0.0450086,-2.05043,6.21534
-0.0366157,-2.06254,6.25007,0.399892,0.089195,-0.0447583,-2.0512,6.21539
-0.0370902,-2.06352,6.24896,0.399892,0.0891951,-0.0456874,-2.05271,6.21464
-0.037516,-2.06503,6.24785,0.399892,0.0891952,-0.0469834,-2.05344,6.21376
-0.0381207,-2.06611,6.24674,0.399892,0.0891952,-0.0480264,-2.05498,6.21263
-0.0391503,-2.06684,6.24564,0.399892,0.0891953,-0.04833,-2.05572,6.21222
-0.0401734,-2.06702,6.24453,0.399893,0.0891954,-0.0489682,-2.05732,6.21181
-0.0412738,-2.06727,6.24342,0.399893,0.0891955,-0.0491836,-2.0581,6.21153
-0.0420729,-2.0674,6.24232,0.399894,0.0891956,-0.0490381,-2.0597,6.21114
-0.042658,-2.06808,6.24121,0.399895,0.0891958,-0.0492054,-2.06047,6.21077
-0.0434696,-2.06834,6.2401,0.399896,0.089196,-0.0364051,-2.06305,6.21323
-0.0442407,-2.0692,6.239,0.399898,0.0891962,-0.050123,-2.06454,6.20957
-0.0461967,-2.07028,6.23678,0.3999,0.0891965,-0.0526615,-2.06692,6.20758
-0.0482896,-2.07101,6.23457,0.399903,0.0891969,-0.0537364,-2.06942,6.20658
-0.0502282,-2.07187,6.23235,0.399906,0.0891975,-0.0540177,-2.07028,6.2064
-0.0516576,-2.07201,6.23124,0.39991,0.0891982,-0.0538971,-2.07196,6.20611
-0.0529646,-2.07239,6.23014,0.399915,0.089199,-0.0537377,-2.07283,6.20579
-0.054028,-2.07304,6.22903,0.39992,0.0891999,-0.0545855,-2.07452,6.20501
-0.0549099,-2.07229,6.22792,0.399925,0.089201,-0.0548047,-2.07537,6.20469
-0.0559877,-2.07114,6.22681,0.39993,0.0892021,-0.0553052,-2.07713,6.20444
-0.0567817,-2.07113,6.2257,0.399936,0.0892035,-0.0555757,-2.07799,6.20417
-0.057353,-2.07153,6.22457,0.399942,0.089205,-0.0569696,-2.07971,6.20299
-0.0580419,-2.07234,6.22349,0.399948,0.0892066,-0.0590637,-2.0823,6.20134
-0.059914,-2.07498,6.22127,0.399954,0.0892086,-0.0589219,-2.08503,6.20118
-0.0612624,-2.07725,6.21906,0.399961,0.0892109,-0.060211,-2.0877,6.19997
-0.0626216,-2.0796,6.21684,0.399968,0.0892135,-0.0610972,-2.09043,6.19931
-0.0638201,-2.08264,6.21463,0.399974,0.0892164,-0.0621511,-2.0932,6.19829
-0.0652379,-2.0855,6.21241,0.399981,0.0892196,-0.0483528,-2.09617,6.20047
-0.065958,-2.08744,6.21126,0.399987,0.0892229,-0.0653193,-2.09687,6.19602
-0.0664386,-2.08922,6.2102,0.399994,0.0892263,-0.0653289,-2.09878,6.19607
-0.0679801,-2.09134,6.20799,0.400001,0.0892299,-0.0656997,-2.09971,6.19567
-0.0688828,-2.09235,6.20686,0.400007,0.0892337,-0.066429,-2.10161,6.19495
-0.0699353,-2.09374,6.20577,0.400015,0.0892376,-0.0667829,-2.10256,6.19461
-0.0713409,-2.09488,6.20467,0.400022,0.0892417,-0.067498,-2.10449,6.19397
-0.0728226,-2.09552,6.20356,0.40003,0.0892459,-0.0678759,-2.10544,6.19398
-0.0744357,-2.0967,6.20246,0.400039,0.0892502,-0.068656,-2.10737,6.19323
-0.075803,-2.09817,6.20135,0.400048,0.0892547,-0.042852,-2.11063,6.19878
-0.0773029,-2.09927,6.20024,0.400058,0.0892593,-0.0718217,-2.11121,6.19109
-0.0788557,-2.10027,6.19914,0.400068,0.089264,-0.0718684,-2.11324,6.19114
-0.0812475,-2.10262,6.19692,0.400078,0.0892691,-0.0718787,-2.11419,6.1909
-0.0826866,-2.10404,6.19582,0.40009,0.0892743,-0.0735937,-2.11716,6.18967
-0.0847625,-2.10586,6.19469,0.400102,0.0892796,-0.0613219,-2.12037,6.19201
-0.0875893,-2.10864,6.1925,0.400115,0.0892852,-0.0758058,-2.12225,6.18824
-0.0904846,-2.11136,6.19029,0.40013,0.0892911,-0.0762384,-2.12319,6.18793
-0.091903,-2.11316,6.18918,0.400145,0.0892971,-0.0786668,-2.1262,6.18638
-0.0932258,-2.11473,6.18808,0.40016,0.0893033,-0.0792179,-2.12928,6.18609
-0.0952958,-2.1172,6.18587,0.400175,0.0893097,-0.0802627,-2.13137,6.18524
-0.0979236,-2.12042,6.18363,0.400192,0.0893163,-0.0817557,-2.13446,6.18421
-0.100125,-2.12397,6.18144,0.400209,0.0893232,-0.0822491,-2.13549,6.18388
-0.101413,-2.1263,6.18034,0.400226,0.0893302,-0.0833058,-2.13762,6.18342
-0.10282,-2.12859,6.17924,0.400244,0.0893372,-0.084851,-2.14078,6.18232
-0.105128,-2.13253,6.177,0.400261,0.0893444,-0.0867548,-2.14395,6.18111
-0.107273,-2.13627,6.17482,0.400279,0.0893518,-0.0869013,-2.14502,6.18099
-0.108345,-2.13814,6.17371,0.400297,0.0893591,-0.0885069,-2.14712,6.18014
-0.109249,-2.13966,6.17261,0.400316,0.0893666,-0.0620774,-2.1509,6.18591
-0.110272,-2.14134,6.17148,0.400334,0.0893741,-0.0904248,-2.15146,6.17884
-0.111335,-2.14273,6.17038,0.400352,0.0893816,-0.0919888,-2.1536,6.17822
-0.113556,-2.14568,6.16819,0.400371,0.0893892,-0.0926007,-2.15471,6.17782
-0.114639,-2.14743,6.16709,0.400389,0.0893969,-0.0937031,-2.15691,6.17722
-0.11538,-2.14924,6.16596,0.400408,0.0894046,-0.0948106,-2.16023,6.17647
-0.117285,-2.15235,6.16377,0.400426,0.0894125,-0.0961872,-2.16126,6.17576
-0.117799,-2.15377,6.16267,0.400445,0.0894204,-0.0981588,-2.16458,6.1748
-0.118532,-2.1556,6.16157,0.400463,0.0894283,-0.0995087,-2.16685,6.17409
-0.120518,-2.15828,6.15933,0.400481,0.0894364,-0.100138,-2.16792,6.17376
-0.120847,-2.15915,6.15825,0.400498,0.0894445,-0.0883826,-2.1716,6.17601
-0.121352,-2.1603,6.15715,0.400516,0.0894527,-0.103387,-2.17359,6.17217
-0.123119,-2.16313,6.15493,0.400533,0.0894611,-0.103629,-2.17703,6.17196
-0.124898,-2.1659,6.1527,0.400549,0.0894697,-0.104628,-2.17813,6.17145
-0.125286,-2.16688,6.15162,0.400566,0.0894784,-0.0939125,-2.18187,6.17332
-0.126097,-2.16854,6.15051,0.400582,0.0894872,-0.109229,-2.18383,6.1693
-0.128414,-2.17256,6.1483,0.400598,0.0894962,-0.109961,-2.18497,6.16895
-0.12989,-2.17527,6.14719,0.400614,0.0895054,-0.111439,-2.18728,6.16822
-0.131476,-2.17835,6.14609,0.40063,0.0895146,-0.0852144,-2.19143,6.17404
-0.132955,-2.18117,6.14496,0.400646,0.0895238,-0.113864,-2.19189,6.16715
-0.134311,-2.18372,6.14388,0.400663,0.0895331,-0.101175,-2.19579,6.17003
-0.136973,-2.18765,6.14166,0.400679,0.0895426,-0.117085,-2.19774,6.16541
-0.139534,-2.19155,6.13945,0.400695,0.0895522,-0.0918207,-2.20194,6.17126
-0.140875,-2.19432,6.13835,0.400712,0.0895618,-0.120433,-2.2024,6.16426
-0.142336,-2.1967,6.13724,0.400728,0.0895714,-0.12292,-2.20597,6.1631
-0.14539,-2.20129,6.13503,0.400744,0.0895811,-0.124516,-2.20835,6.16246
-0.148384,-2.20598,6.13282,0.400761,0.0895909,-0.124791,-2.20952,6.16236
-0.149592,-2.2084,6.13171,0.400777,0.0896006,-0.124855,-2.21199,6.1624
-0.150949,-2.21034,6.13061,0.400793,0.0896104,-0.127164,-2.21556,6.16123
-0.154181,-2.21507,6.1284,0.400809,0.0896202,-0.102327,-2.21992,6.16663
-0.156109,-2.2175,6.12729,0.400826,0.0896301,-0.117745,-2.22073,6.16279
-0.158113,-2.21966,6.12619,0.400842,0.0896399,-0.105165,-2.22353,6.16551
