xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.866127,1.90644,6.31827,0.3,0.05,-0.0448762,-2.04669,6.21669
-0.846416,1.91104,6.31777,0.3,0.05,-0.0446926,-2.0482,6.2162
-0.826915,1.91607,6.31727,0.3,0.05,-0.0443987,-2.04895,6.21597
-0.807585,1.92145,6.31677,0.3,0.05,-0.0450086,-2.05043,6.21534
-0.788537,1.92749,6.31627,0.3,0.05,-0.0447583,-2.0512,6.21539
-0.769578,1.93374,6.31576,0.3,0.05,-0.0456874,-2.05271,6.21464
-0.750828,1.94053,6.31526,0.3,0.05,-0.0469834,-2.05344,6.21376
-0.731926,1.94693,6.31476,0.3,0.05,-0.0480264,-2.05498,6.21263
-0.712905,1.95303,6.31426,0.3,0.05,-0.04833,-2.05572,6.21222
-0.693696,1.95861,6.31376,0.3,0.05,-0.0489682,-2.05732,6.21181
-0.674504,1.96424,6.31326,0.3,0.05,-0.0491836,-2.0581,6.21153
-0.655258,1.96971,6.31275,0.3,0.05,-0.0490381,-2.0597,6.21114
-0.636167,1.97566,6.31225,0.3,0.05,-0.0492054,-2.06047,6.21077
-0.616925,1.98116,6.31175,0.3,0.05,-0.0364051,-2.06305,6.21323
-0.597832,1.98717,6.31124,0.3,0.05,-0.050123,-2.06454,6.20957
-0.558654,1.99627,6.31024,0.3,0.05,-0.0526615,-2.06692,6.20758
-0.519266,2.00458,6.30923,0.3,0.05,-0.0537364,-2.06942,6.20658
-0.47979,2.01251,6.30823,0.3,0.05,-0.0540177,-2.07028,6.2064
-0.460266,2.01705,6.30772,0.3,0.05,-0.0538971,-2.07196,6.20611
-0.440753,2.02167,6.30721,0.3,0.05,-0.0537377,-2.07283,6.20579
-0.42125,2.02638,6.3067,0.3,0.05,-0.0545855,-2.07452,6.20501
-0.401424,2.02956,6.3062,0.3,0.05,-0.0548047,-2.07537,6.20469
-0.381495,2.03218,6.30569,0.3,0.05,-0.0553052,-2.07713,6.20444
-0.361745,2.03576,6.30518,0.3,0.05,-0.0555757,-2.07799,6.20417
-0.341619,2.03959,6.30466,0.3,0.05,-0.0569696,-2.07971,6.20299
-0.322336,2.0436,6.30417,0.3,0.05,-0.0590637,-2.0823,6.20134
-0.282522,2.05046,6.30316,0.3,0.05,-0.0589219,-2.08503,6.20118
-0.242546,2.05638,6.30215,0.3,0.05,-0.060211,-2.0877,6.19997
-0.202481,2.0618,6.30113,0.3,0.05,-0.0610972,-2.09043,6.19931
-0.162383,2.06729,6.30012,0.3,0.05,-0.0621511,-2.0932,6.19829
-0.122178,2.07199,6.29911,0.3,0.05,-0.0483528,-2.09617,6.20047
-0.101452,2.07529,6.29857,0.3,0.05,-0.0653193,-2.09687,6.19602
-0.0823181,2.07819,6.29808,0.3,0.05,-0.0653289,-2.09878,6.19607
-0.0419195,2.08081,6.29707,0.3,0.05,-0.0656997,-2.09971,6.19567
-0.02148,2.08234,6.29654,0.3,0.05,-0.066429,-2.10161,6.19495
-0.00184475,2.08404,6.29604,0.3,0.05,-0.0667829,-2.10256,6.19461
0.0182117,2.08527,6.29552,0.3,0.05,-0.067498,-2.10449,6.19397
0.0382692,2.08575,6.295,0.3,0.05,-0.0678759,-2.10544,6.19398
0.0583422,2.08657,6.29449,0.3,0.05,-0.068656,-2.10737,6.19323
0.0784285,2.08743,6.29397,0.3,0.05,-0.042852,-2.11063,6.19878
0.0985027,2.08771,6.29346,0.3,0.05,-0.0718217,-2.11121,6.19109
0.118569,2.08766,6.29294,0.3,0.05,-0.0718684,-2.11324,6.19114
0.159073,2.08708,6.29193,0.3,0.05,-0.0718787,-2.11419,6.1909
0.179153,2.08686,6.29141,0.3,0.05,-0.0735937,-2.11716,6.18967
0.199669,2.08679,6.29088,0.3,0.05,-0.0613219,-2.12037,6.19201
0.239762,2.08538,6.28988,0.3,0.05,-0.0758058,-2.12225,6.18824
0.280221,2.08327,6.28886,0.3,0.05,-0.0762384,-2.12319,6.18793
0.30028,2.08226,6.28834,0.3,0.05,-0.0786668,-2.1262,6.18638
0.320281,2.08078,6.28783,0.3,0.05,-0.0792179,-2.12928,6.18609
0.360573,2.07706,6.28681,0.3,0.05,-0.0802627,-2.13137,6.18524
0.401332,2.07343,6.28578,0.3,0.05,-0.0817557,-2.13446,6.18421
0.441281,2.06962,6.28478,0.3,0.05,-0.0822491,-2.13549,6.18388
0.461269,2.06759,6.28426,0.3,0.05,-0.0833058,-2.13762,6.18342
0.481211,2.0653,6.28375,0.3,0.05,-0.084851,-2.14078,6.18232
0.521869,2.06044,6.28272,0.3,0.05,-0.0867548,-2.14395,6.18111
0.561585,2.05493,6.28171,0.3,0.05,-0.0869013,-2.14502,6.18099
0.581252,2.05133,6.2812,0.3,0.05,-0.0885069,-2.14712,6.18014
0.600767,2.04717,6.28068,0.3,0.05,-0.0620774,-2.1509,6.18591
0.620665,2.04287,6.28016,0.3,0.05,-0.0904248,-2.15146,6.17884
0.640024,2.03818,6.27964,0.3,0.05,-0.0919888,-2.1536,6.17822
0.679078,2.03002,6.27864,0.3,0.05,-0.0926007,-2.15471,6.17782
0.698394,2.02515,6.27812,0.3,0.05,-0.0937031,-2.15691,6.17722
0.718051,2.02001,6.2776,0.3,0.05,-0.0948106,-2.16023,6.17647
0.756801,2.01078,6.2766,0.3,0.05,-0.0961872,-2.16126,6.17576
0.775757,2.00487,6.27608,0.3,0.05,-0.0981588,-2.16458,6.1748
0.79479,1.99914,6.27557,0.3,0.05,-0.0995087,-2.16685,6.17409
0.833766,1.98813,6.27455,0.3,0.05,-0.100138,-2.16792,6.17376
0.851854,1.98115,6.27405,0.3,0.05,-0.0883826,-2.1716,6.17601
0.870358,1.97413,6.27354,0.3,0.05,-0.103387,-2.17359,6.17217
0.908556,1.96223,6.27253,0.3,0.05,-0.103629,-2.17703,6.17196
0.946911,1.94964,6.27151,0.3,0.05,-0.104628,-2.17813,6.17145
0.96464,1.9419,6.27102,0.3,0.05,-0.0939125,-2.18187,6.17332
0.98299,1.93452,6.27051,0.3,0.05,-0.109229,-2.18383,6.1693
1.02111,1.92219,6.2695,0.3,0.05,-0.109961,-2.18497,6.16895
1.03981,1.91541,6.269,0.3,0.05,-0.111439,-2.18728,6.16822
1.05864,1.90886,6.26849,0.3,0.05,-0.0852144,-2.19143,6.17404
1.07766,1.9018,6.26798,0.3,0.05,-0.113864,-2.19189,6.16715
