xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.455944,2.02604,6.29958,0.3,0.05,-0.0448762,-2.04669,6.21669
-0.435679,2.02802,6.29908,0.3,0.05,-0.0446926,-2.0482,6.2162
-0.415494,2.03031,6.29858,0.3,0.05,-0.0443987,-2.04895,6.21597
-0.395368,2.03283,6.29808,0.3,0.05,-0.0450086,-2.05043,6.21534
-0.375356,2.03592,6.29758,0.3,0.05,-0.0447583,-2.0512,6.21539
-0.355362,2.03911,6.29708,0.3,0.05,-0.0456874,-2.05271,6.21464
-0.335441,2.04275,6.29658,0.3,0.05,-0.0469834,-2.05344,6.21376
-0.31543,2.04589,6.29608,0.3,0.05,-0.0480264,-2.05498,6.21263
-0.295352,2.0486,6.29558,0.3,0.05,-0.04833,-2.05572,6.21222
-0.275181,2.05067,6.29508,0.3,0.05,-0.0489682,-2.05732,6.21181
-0.255008,2.0527,6.29458,0.3,0.05,-0.0491836,-2.0581,6.21153
-0.234806,2.05449,6.29407,0.3,0.05,-0.0490381,-2.0597,6.21114
-0.214651,2.05669,6.29357,0.3,0.05,-0.0492054,-2.06047,6.21077
-0.194438,2.05834,6.29307,0.3,0.05,-0.0364051,-2.06305,6.21323
-0.174264,2.06044,6.29257,0.3,0.05,-0.050123,-2.06454,6.20957
-0.133736,2.06305,6.29157,0.3,0.05,-0.0526615,-2.06692,6.20758
-0.093153,2.06478,6.29057,0.3,0.05,-0.0537364,-2.06942,6.20658
-0.0525525,2.06607,6.28956,0.3,0.05,-0.0540177,-2.07028,6.2064
-0.0322668,2.06644,6.28906,0.3,0.05,-0.0538971,-2.07196,6.20611
-0.0119809,2.06687,6.28856,0.3,0.05,-0.0537377,-2.07283,6.20579
0.00830809,2.06737,6.28806,0.3,0.05,-0.0545855,-2.07452,6.20501
0.0285862,2.06628,6.28756,0.3,0.05,-0.0548047,-2.07537,6.20469
0.0488436,2.06459,6.28706,0.3,0.05,-0.0553052,-2.07713,6.20444
0.0691161,2.06386,6.28655,0.3,0.05,-0.0555757,-2.07799,6.20417
0.0897998,2.06329,6.28604,0.3,0.05,-0.0569696,-2.07971,6.20299
0.109685,2.06299,6.28555,0.3,0.05,-0.0590637,-2.0823,6.20134
0.150344,2.06292,6.28455,0.3,0.05,-0.0589219,-2.08503,6.20118
0.190969,2.06187,6.28355,0.3,0.05,-0.060211,-2.0877,6.19997
0.231579,2.06031,6.28255,0.3,0.05,-0.0610972,-2.09043,6.19931
0.272244,2.05884,6.28154,0.3,0.05,-0.0621511,-2.0932,6.19829
0.312856,2.05659,6.28054,0.3,0.05,-0.0483528,-2.09617,6.20047
0.333972,2.05543,6.28002,0.3,0.05,-0.0653193,-2.09687,6.19602
0.353435,2.05412,6.27954,0.3,0.05,-0.0653289,-2.09878,6.19607
0.393817,2.04992,6.27853,0.3,0.05,-0.0656997,-2.09971,6.19567
0.414291,2.04721,6.27802,0.3,0.05,-0.066429,-2.10161,6.19495
0.43401,2.04481,6.27753,0.3,0.05,-0.0667829,-2.10256,6.19461
0.454054,2.04196,6.27703,0.3,0.05,-0.067498,-2.10449,6.19397
0.473956,2.03845,6.27653,0.3,0.05,-0.0678759,-2.10544,6.19398
0.493953,2.03533,6.27602,0.3,0.05,-0.068656,-2.10737,6.19323
0.513983,2.03231,6.27552,0.3,0.05,-0.042852,-2.11063,6.19878
0.533896,2.02879,6.27502,0.3,0.05,-0.0718217,-2.11121,6.19109
0.553751,2.02503,6.27452,0.3,0.05,-0.0718684,-2.11324,6.19114
