ceres_tukey_x,ceres_tukey_y,ceres_tukey_theta
-0.0175816,-2.01744,6.20875
-0.0177201,-2.0188,6.20826
-0.0180195,-2.0216,6.20726
-0.0183497,-2.02444,6.20625
-0.0184921,-2.02593,6.20591
-0.0186404,-2.02743,6.20558
-0.0187984,-2.02893,6.20524
-0.0189606,-2.03044,6.2049
-0.0191371,-2.03198,6.20455
-0.019314,-2.03347,6.20422
-0.0195011,-2.03499,6.20387
-0.019694,-2.03651,6.20353
-0.0198961,-2.03803,6.20318
-0.0203631,-2.04106,6.20234
-0.020591,-2.0426,6.20199
-0.0208296,-2.04415,6.20164
-0.0213648,-2.04723,6.20079
-0.0216369,-2.04882,6.20043
-0.0219115,-2.05037,6.20008
-0.0222022,-2.05195,6.19973
-0.0225025,-2.05353,6.19937
-0.0231475,-2.05667,6.19851
-0.0238254,-2.05983,6.19765
-0.0245371,-2.06301,6.19679
-0.0248968,-2.0646,6.19643
-0.0252678,-2.0662,6.19606
-0.0260549,-2.06942,6.1952
-0.0264555,-2.07102,6.19483
-0.0268645,-2.07263,6.19445
-0.027723,-2.07588,6.19358
-0.0286187,-2.07916,6.1927
-0.0290713,-2.08079,6.19232
-0.0295326,-2.08243,6.19194
-0.031029,-2.08737,6.19046
-0.0315673,-2.08898,6.18997
-0.032116,-2.0906,6.18948
-0.0326733,-2.09222,6.18899
-0.0337892,-2.09556,6.18799
-0.0349413,-2.09893,6.18699
-0.0355551,-2.10062,6.18647
-0.0361512,-2.10224,6.18597
-0.0367818,-2.10394,6.18545
-0.0373966,-2.10557,6.18494
-0.0386589,-2.10901,6.18392
-0.0393144,-2.11067,6.18339
-0.0399779,-2.11235,6.18286
-0.0406642,-2.11407,6.18231
-0.0413366,-2.11572,6.18178
-0.0427119,-2.11923,6.18074
-0.0434279,-2.12093,6.18019
-0.0441662,-2.12267,6.17962
-0.0448833,-2.12434,6.17907
-0.0456268,-2.12608,6.17851
-0.0471328,-2.12972,6.17743
-0.0486461,-2.13331,6.17636
-0.0502127,-2.13695,6.17528
-0.051821,-2.14062,6.17419
-0.0534693,-2.14431,6.17309
-0.0543193,-2.14611,6.17249
-0.0551811,-2.14791,6.17189
-0.0569162,-2.15165,6.17077
-0.0578116,-2.15344,6.17015
-0.058716,-2.15524,6.16953
-0.0596283,-2.15704,6.16889
-0.061465,-2.16083,6.16776
-0.0624097,-2.16265,6.16711
-0.0643128,-2.16648,6.16596
-0.0662576,-2.17033,6.1648
-0.067255,-2.17219,6.16413
-0.0682666,-2.17405,6.16346
-0.0703009,-2.17796,6.16228
-0.0713489,-2.17983,6.16159
-0.0734409,-2.18388,6.16055
-0.074492,-2.18584,6.16002
-0.0755317,-2.18775,6.1595
-0.0765996,-2.18972,6.15896
-0.0776838,-2.19168,6.15842
-0.0787783,-2.19364,6.15787
-0.0798823,-2.19561,6.15731
-0.0809958,-2.19758,6.15675
-0.0832672,-2.20167,6.15569
-0.0855858,-2.20577,6.15461
-0.086757,-2.20775,6.15403
-0.087938,-2.20973,6.15345
-0.089134,-2.21172,6.15286
-0.090335,-2.2137,6.15226
-0.0927865,-2.21785,6.15115
-0.0940177,-2.21984,6.15054
-0.0952602,-2.22184,6.14993
-0.0977983,-2.22601,6.1488
-0.0990353,-2.2281,6.14836
-0.100285,-2.23018,6.14791
-0.101547,-2.23227,6.14747
-0.102821,-2.23436,6.14701
-0.105461,-2.23865,6.14605
-0.106767,-2.24074,6.14559
-0.108086,-2.24284,6.14512
-0.110822,-2.24714,6.14414
-0.113608,-2.25145,6.14315
-0.116442,-2.25576,6.14216
-0.117847,-2.25786,6.14166
-0.119261,-2.25996,6.14116
-0.122218,-2.26435,6.14014
-0.123641,-2.26641,6.13963
-0.12511,-2.26852,6.13911
-0.128133,-2.27288,6.13808
-0.131234,-2.27729,6.13704
-0.132716,-2.27937,6.13651
-0.134242,-2.28149,6.13596
-0.13578,-2.28362,6.13541
-0.137329,-2.28575,6.13485
-0.140539,-2.29016,6.13378
-0.143761,-2.29466,6.1329
-0.147036,-2.29915,6.13201
-0.148704,-2.30145,6.1316
-0.150247,-2.30357,6.13123
-0.151874,-2.30579,6.13083
-0.153548,-2.30805,6.13042
-0.156933,-2.31248,6.12952
-0.158607,-2.31468,6.12911
-0.160296,-2.31688,6.12869
-0.163818,-2.32135,6.12777
-0.165542,-2.32354,6.12734
-0.167318,-2.32578,6.1269
-0.170904,-2.33021,6.12597
-0.172681,-2.33241,6.12553
-0.174467,-2.33461,6.12509
