null_x,null_y,null_theta
0.030322,-2.06207,6.22941
0.0295011,-2.06456,6.22856
0.0294316,-2.06704,6.22801
0.0290946,-2.06869,6.22728
0.0289286,-2.06952,6.22695
0.0284776,-2.07122,6.22661
0.0284924,-2.07209,6.22638
0.0259175,-2.07378,6.22482
0.0255247,-2.07469,6.22433
0.0248176,-2.0764,6.22352
0.0245771,-2.07729,6.22319
0.0246371,-2.07902,6.2232
0.0239236,-2.08167,6.22219
0.0236898,-2.08258,6.22185
0.0367371,-2.08518,6.22461
0.0213306,-2.0871,6.22015
0.0201576,-2.08802,6.21928
0.0193473,-2.08984,6.21848
0.0190755,-2.09079,6.21813
0.0326173,-2.09348,6.22123
0.0181558,-2.09542,6.21711
0.0172691,-2.09825,6.2161
0.0161694,-2.1011,6.21549
0.0414477,-2.10381,6.22063
0.0129905,-2.105,6.21314
0.0129352,-2.10696,6.21284
0.012535,-2.10795,6.21278
0.0114236,-2.11087,6.21172
0.01069,-2.11286,6.21103
0.00952803,-2.11582,6.21042
0.00904362,-2.11684,6.20999
0.00633995,-2.11988,6.2082
0.00580654,-2.12297,6.20766
0.00491877,-2.12497,6.20709
0.0307422,-2.12795,6.21267
0.00315397,-2.12912,6.20574
0.00227105,-2.13119,6.20526
0.000566199,-2.13432,6.20415
-0.000719521,-2.1354,6.20341
-0.000749423,-2.1375,6.20313
-0.00128462,-2.13862,6.20277
0.0111965,-2.14177,6.20525
-0.00389416,-2.14394,6.20117
0.0218559,-2.14713,6.20675
0.00768751,-2.14826,6.20335
0.0202801,-2.15037,6.20585
0.00650878,-2.15153,6.20233
-0.00895947,-2.1537,6.19807
-0.00954759,-2.15482,6.1977
-0.0107417,-2.15701,6.19721
-0.0113653,-2.15814,6.19675
-0.0131446,-2.16148,6.19573
-0.0143019,-2.1637,6.19506
-0.0160438,-2.16711,6.19417
-0.017285,-2.17048,6.19343
-0.0198942,-2.1739,6.19203
-0.0219771,-2.17737,6.19107
0.00400235,-2.1809,6.19676
-0.0104605,-2.18207,6.19309
-0.0258914,-2.18428,6.18912
-0.0260363,-2.18547,6.18903
-0.0126869,-2.18905,6.19198
-0.000751042,-2.19143,6.19434
-0.0303688,-2.19252,6.18667
-0.0318693,-2.19482,6.18622
-0.0341275,-2.19837,6.1852
-0.0363021,-2.20198,6.18398
-0.0364347,-2.20318,6.18417
-0.0366111,-2.20556,6.18412
-0.0399467,-2.20913,6.18261
-0.0146023,-2.21294,6.18812
